"","cores","GBMemory","TimeUncertainty","cluster","TimeUncertainty","time","cost","fromOrigin","choice"
"1",1,2,622.570332634625,"1",607.807465633641,2275.41041391985,0.385499141423977,3.81946233575583,9
"2",1,4,1857.64579919598,"2",1844.80178151515,4287.51599063574,0.0737009693215125,5.62994295752761,14
"3",1,5,1843.63015375692,"2",1844.80178151515,4287.51599063574,0.0737009693215125,5.62994295752761,14
"4",1,6,1843.63015375692,"2",1844.80178151515,4287.51599063574,0.0737009693215125,5.62994295752761,14
"5",1,8,1834.30101935078,"2",1844.80178151515,4287.51599063574,0.0737009693215125,5.62994295752761,14
"6",1,10,1203.0616431915,"3",1203.08958059789,3690.68053495166,0.0981693113886341,4.43876271738267,11
"7",1,12,1203.0616431915,"3",1203.08958059789,3690.68053495166,0.0981693113886341,4.43876271738267,11
"8",1,14,1202.95047419973,"3",1203.08958059789,3690.68053495166,0.0981693113886341,4.43876271738267,11
"9",1,16,1203.28456180884,"3",1203.08958059789,3690.68053495166,0.0981693113886341,4.43876271738267,11
"10",1,18,1272.33622863029,"4",1344.37769368879,3885.55507414834,0.1400355227103,4.80518909202074,12
"11",1,20,1276.67794058372,"4",1344.37769368879,3885.55507414834,0.1400355227103,4.80518909202074,12
"12",1,22,1276.75100403797,"4",1344.37769368879,3885.55507414834,0.1400355227103,4.80518909202074,12
"13",2,2,656.238688752447,"5",656.238688752447,1815.49707476447,0.0399409356448184,2.24360503676887,1
"14",2,4,642.48075635974,"6",611.395034378774,2652.33880606587,0.164660872615127,3.15338381452853,4
"15",2,5,654.969715959709,"6",611.395034378774,2652.33880606587,0.164660872615127,3.15338381452853,4
"16",2,6,654.969715959709,"6",611.395034378774,2652.33880606587,0.164660872615127,3.15338381452853,4
"17",2,8,652.366685585739,"6",611.395034378774,2652.33880606587,0.164660872615127,3.15338381452853,4
"18",2,10,676.345028262332,"1",607.807465633641,2275.41041391985,0.385499141423977,3.81946233575583,9
"19",2,12,676.345028262332,"1",607.807465633641,2275.41041391985,0.385499141423977,3.81946233575583,9
"20",2,14,676.770077665544,"1",607.807465633641,2275.41041391985,0.385499141423977,3.81946233575583,9
"21",2,16,676.430961994144,"1",607.807465633641,2275.41041391985,0.385499141423977,3.81946233575583,9
"22",2,18,712.961299504149,"7",724.990945743112,2492.98657231911,0.424770267652124,4.23480627200677,10
"23",2,20,711.527550351875,"7",724.990945743112,2492.98657231911,0.424770267652124,4.23480627200677,10
"24",2,22,711.595860967569,"7",724.990945743112,2492.98657231911,0.424770267652124,4.23480627200677,10
"25",3,2,1448.06164759599,"4",1344.37769368879,3885.55507414834,0.1400355227103,4.80518909202074,12
"26",3,4,768.170684036089,"8",749.077233771948,3273.3013765743,0.135647541092332,3.72610606409168,8
"27",3,5,754.340247188027,"8",749.077233771948,3273.3013765743,0.135647541092332,3.72610606409168,8
"28",3,6,754.340247188027,"8",749.077233771948,3273.3013765743,0.135647541092332,3.72610606409168,8
