"","cores","GBMemory","TimeUncertainty","cluster","TimeUncertainty","time","cost","fromOrigin","choice"
"9",1,16,7.36977134236277,"2",6.47382800591978,23.7537203518748,0.0032800384375922,0.341664034097332,1
"21",2,16,8.84663608482468,"2",6.47382800591978,23.7537203518748,0.0032800384375922,0.341664034097332,1
"33",3,16,8.08421143560202,"2",6.47382800591978,23.7537203518748,0.0032800384375922,0.341664034097332,1
"45",4,16,8.08421143560202,"2",6.47382800591978,23.7537203518748,0.0032800384375922,0.341664034097332,1
"57",5,16,7.20248574463879,"2",6.47382800591978,23.7537203518748,0.0032800384375922,0.341664034097332,1
"69",6,16,7.20248574463879,"2",6.47382800591978,23.7537203518748,0.0032800384375922,0.341664034097332,1
"81",7,16,6.03233724191142,"2",6.47382800591978,23.7537203518748,0.0032800384375922,0.341664034097332,1
"93",8,16,6.03233724191142,"2",6.47382800591978,23.7537203518748,0.0032800384375922,0.341664034097332,1
"105",9,16,6.03233724191142,"2",6.47382800591978,23.7537203518748,0.0032800384375922,0.341664034097332,1
"117",10,16,6.03233724191142,"2",6.47382800591978,23.7537203518748,0.0032800384375922,0.341664034097332,1
"129",11,16,6.03233724191142,"2",6.47382800591978,23.7537203518748,0.0032800384375922,0.341664034097332,1
"141",12,16,6.03233724191142,"2",6.47382800591978,23.7537203518748,0.0032800384375922,0.341664034097332,1
"153",13,16,6.03233724191142,"2",6.47382800591978,23.7537203518748,0.0032800384375922,0.341664034097332,1
"165",14,16,6.03233724191142,"2",6.47382800591978,23.7537203518748,0.0032800384375922,0.341664034097332,1
"177",15,16,6.03233724191142,"2",6.47382800591978,23.7537203518748,0.0032800384375922,0.341664034097332,1
"189",16,16,6.03233724191142,"2",6.47382800591978,23.7537203518748,0.0032800384375922,0.341664034097332,1
"200",17,16,6.03233724191142,"2",6.47382800591978,23.7537203518748,0.0032800384375922,0.341664034097332,1
"212",18,16,6.03233724191142,"2",6.47382800591978,23.7537203518748,0.0032800384375922,0.341664034097332,1
"224",19,16,6.03233724191142,"2",6.47382800591978,23.7537203518748,0.0032800384375922,0.341664034097332,1
"236",20,16,6.03233724191142,"2",6.47382800591978,23.7537203518748,0.0032800384375922,0.341664034097332,1
"248",21,16,6.03233724191142,"2",6.47382800591978,23.7537203518748,0.0032800384375922,0.341664034097332,1
"260",22,16,6.03233724191142,"2",6.47382800591978,23.7537203518748,0.0032800384375922,0.341664034097332,1
"272",23,16,6.03233724191142,"2",6.47382800591978,23.7537203518748,0.0032800384375922,0.341664034097332,1
"284",24,16,6.03233724191142,"2",6.47382800591978,23.7537203518748,0.0032800384375922,0.341664034097332,1
"1",1,2,8.71919097743052,"1",6.56405776560812,96.3668498464891,0.0127374646488887,1.33223469062906,2
"2",1,4,7.35003249529031,"1",6.56405776560812,96.3668498464891,0.0127374646488887,1.33223469062906,2
"3",1,5,7.59185014134968,"1",6.56405776560812,96.3668498464891,0.0127374646488887,1.33223469062906,2
"4",1,6,7.59185014134968,"1",6.56405776560812,96.3668498464891,0.0127374646488887,1.33223469062906,2
"5",1,8,11.9873921685844,"1",6.56405776560812,96.3668498464891,0.0127374646488887,1.33223469062906,2
"6",1,10,12.2528915402946,"1",6.56405776560812,96.3668498464891,0.0127374646488887,1.33223469062906,2
"7",1,12,12.2528915402946,"1",6.56405776560812,96.3668498464891,0.0127374646488887,1.33223469062906,2
"8",1,14,12.108946764964,"1",6.56405776560812,96.3668498464891,0.0127374646488887,1.33223469062906,2
"10",1,18,17.9003383669556,"1",6.56405776560812,96.3668498464891,0.0127374646488887,1.33223469062906,2
"11",1,20,17.6544693601494,"1",6.56405776560812,96.3668498464891,0.0127374646488887,1.33223469062906,2
"12",1,22,21.3683274129231,"1",6.56405776560812,96.3668498464891,0.0127374646488887,1.33223469062906,2
"13",2,2,8.56456362233642,"1",6.56405776560812,96.3668498464891,0.0127374646488887,1.33223469062906,2
"14",2,4,7.24127966180926,"1",6.56405776560812,96.3668498464891,0.0127374646488887,1.33223469062906,2
"15",2,5,7.45748729511409,"1",6.56405776560812,96.3668498464891,0.0127374646488887,1.33223469062906,2
"16",2,6,7.45748729511409,"1",6.56405776560812,96.3668498464891,0.0127374646488887,1.33223469062906,2
"17",2,8,7.33749538334694,"1",6.56405776560812,96.3668498464891,0.0127374646488887,1.33223469062906,2
"18",2,10,7.31989803083405,"1",6.56405776560812,96.3668498464891,0.0127374646488887,1.33223469062906,2
"19",2,12,7.31989803083405,"1",6.56405776560812,96.3668498464891,0.0127374646488887,1.33223469062906,2
"20",2,14,7.85735521305689,"1",6.56405776560812,96.3668498464891,0.0127374646488887,1.33223469062906,2
"22",2,18,18.7625827931533,"1",6.56405776560812,96.3668498464891,0.0127374646488887,1.33223469062906,2
"23",2,20,18.6114422663209,"1",6.56405776560812,96.3668498464891,0.0127374646488887,1.33223469062906,2
"24",2,22,22.8172717497312,"1",6.56405776560812,96.3668498464891,0.0127374646488887,1.33223469062906,2
"26",3,4,6.98047800195599,"1",6.56405776560812,96.3668498464891,0.0127374646488887,1.33223469062906,2
"27",3,5,6.16702657659957,"1",6.56405776560812,96.3668498464891,0.0127374646488887,1.33223469062906,2
"28",3,6,6.16702657659957,"1",6.56405776560812,96.3668498464891,0.0127374646488887,1.33223469062906,2
"29",3,8,6.16079641699047,"1",6.56405776560812,96.3668498464891,0.0127374646488887,1.33223469062906,2
"30",3,10,6.00690228484883,"1",6.56405776560812,96.3668498464891,0.0127374646488887,1.33223469062906,2
"31",3,12,6.00690228484883,"1",6.56405776560812,96.3668498464891,0.0127374646488887,1.33223469062906,2
"32",3,14,6.3773159365595,"1",6.56405776560812,96.3668498464891,0.0127374646488887,1.33223469062906,2
"34",3,18,7.23088153920883,"1",6.56405776560812,96.3668498464891,0.0127374646488887,1.33223469062906,2
"35",3,20,7.30833410186084,"1",6.56405776560812,96.3668498464891,0.0127374646488887,1.33223469062906,2
"36",3,22,11.0821243932564,"1",6.56405776560812,96.3668498464891,0.0127374646488887,1.33223469062906,2
"38",4,4,6.98047800195599,"1",6.56405776560812,96.3668498464891,0.0127374646488887,1.33223469062906,2
"39",4,5,6.16702657659957,"1",6.56405776560812,96.3668498464891,0.0127374646488887,1.33223469062906,2
