"","totalTime","fittingTime","predictionTime","accuracyTime","testingAUC","numTrees","cores","GBMemory","taxon","method","trainingExamples","spatialResolution","numPredictors","cells"
"45",114.387,67.5920000000001,44.529,2.23899999999981,0.799208862035016,31000,1,16,"Picea","PARALLEL",1000,0.5,5,35000
"46",101.708,60.8589999999999,38.6970000000001,2.12699999999995,0.795096153778687,31000,1,16,"Picea","SERIAL",1000,0.5,5,35000
"47",100.717,59.7190000000001,38.652,2.3119999999999,0.790561784425802,31000,1,16,"Picea","PARALLEL",1000,0.5,5,35000
"48",111.615,67.5130000000001,41.5329999999999,2.52700000000004,0.796697377124973,31000,1,16,"Picea","SERIAL",1000,0.5,5,35000
"49",105.275,94.636,8.51700000000005,2.0619999999999,0.864930384926055,1000,1,16,"Picea","PARALLEL",11000,0.5,5,35000
"50",107.634,96.7930000000001,8.67099999999982,2.12300000000005,0.867354092987971,1000,1,16,"Picea","SERIAL",11000,0.5,5,35000
"51",91.518,80.8979999999999,8.46600000000012,2.10699999999997,0.864897104494993,1000,1,16,"Picea","PARALLEL",11000,0.5,5,35000
"52",105.222,94.529,8.54499999999985,2.10100000000011,0.858866949520125,1000,1,16,"Picea","SERIAL",11000,0.5,5,35000
"53",103.238,92.2739999999999,8.75099999999998,2.16499999999996,0.864581133081473,1000,1,16,"Picea","PARALLEL",11000,0.5,5,35000
"54",116.926,105.937,8.80400000000009,2.13299999999981,0.863201670490126,1000,1,16,"Picea","SERIAL",11000,0.5,5,35000
"55",1073.463,1039.09,32.1030000000001,2.22299999999996,0.870944848365756,11000,1,16,"Picea","PARALLEL",11000,0.5,5,35000
"56",1008.752,977.254,29.2390000000005,2.19799999999941,0.865174582536089,11000,1,16,"Picea","SERIAL",11000,0.5,5,35000
"57",947.005,915.276,29.4300000000003,2.2510000000002,0.865738793094849,11000,1,16,"Picea","PARALLEL",11000,0.5,5,35000
"58",1042.396,1010.639,28.951,2.73599999999988,0.866657007611667,11000,1,16,"Picea","SERIAL",11000,0.5,5,35000
"59",1056.309,1023.358,30.6889999999994,2.13000000000011,0.867723186525931,11000,1,16,"Picea","PARALLEL",11000,0.5,5,35000
"60",970.169,939.821,28.1189999999997,2.17299999999977,0.867358311794214,11000,1,16,"Picea","SERIAL",11000,0.5,5,35000
"61",12.631,2.937,7.513,2.078,0.793233659805097,1000,1,16,"Picea","PARALLEL",1000,0.5,5,35000
"62",11.225,1.867,7.292,2.042,0.793427295303755,1000,1,16,"Picea","SERIAL",1000,0.5,5,35000
"63",11.308,2.137,7.099,2.049,0.78712664644305,1000,1,16,"Picea","PARALLEL",1000,0.5,5,35000
"64",11.2,1.962,7.15,2.059,0.796817517901359,1000,1,16,"Picea","SERIAL",1000,0.5,5,35000
"65",11.464,2.21299999999999,7.2,2.026,0.787945181050911,1000,1,16,"Picea","PARALLEL",1000,0.5,5,35000
"66",11.636,2.24299999999999,7.351,2.017,0.78659734166072,1000,1,16,"Picea","SERIAL",1000,0.5,5,35000
"67",43.12,22.892,18.111,2.09100000000001,0.787199644079056,11000,1,16,"Picea","PARALLEL",1000,0.5,5,35000
"68",43.757,23.541,18.179,2.01400000000001,0.791437153334664,11000,1,16,"Picea","SERIAL",1000,0.5,5,35000
"69",43.717,23.453,18.177,2.06300000000002,0.797819595934578,11000,1,16,"Picea","PARALLEL",1000,0.5,5,35000
