"","oid","typ","cid","tna","rnk","tid","mna","mra","mid","oei","eag","lag","rid","dcr","dmd","lng","lat","oli"
"1:1",17044,"occ",1327,"Cucullaea royana",3,16224,"Cucullaea",5,16224,"Maastrichtian",72.1,66,"40;40","1993-01-07 00:00:00","1999-04-08 21:02:41",-2,43,NA
"1:2",17045,"occ",1327,"Regoria dufrenoyi",3,16410,"Regoria",5,16410,"Maastrichtian",72.1,66,"40;40","1993-01-07 00:00:00","1999-04-08 21:02:41",-2,43,NA
"1:3",17046,"occ",1327,"Endocostea impressus",3,16628,"Inoceramus (Endocostea)",4,130088,"Maastrichtian",72.1,66,"40;40","1993-01-07 00:00:00","1999-04-08 21:02:41",-2,43,NA
"1:4",17047,"occ",1327,"Endocostea pseudoregularis",3,16628,"Inoceramus (Endocostea)",4,130088,"Maastrichtian",72.1,66,"40;40","1993-01-07 00:00:00","1999-04-08 21:02:41",-2,43,NA
"1:5",17048,"occ",1327,"Endocostea goldfussi",3,16628,"Inoceramus (Endocostea)",4,130088,"Maastrichtian",72.1,66,"40;40","1993-01-07 00:00:00","1999-04-08 21:02:41",-2,43,NA
"1:6",17049,"occ",1327,"Neithea regularis",3,16842,"Neithea",5,16842,"Maastrichtian",72.1,66,"40;40","1993-01-07 00:00:00","1999-04-08 21:02:41",-2,43,NA
"1:7",17050,"occ",1327,"Lyriochlamys faujasi",3,16784,"Lyriochlamys",5,16784,"Maastrichtian",72.1,66,"40;40","1993-01-07 00:00:00","1999-04-08 21:02:41",-2,43,NA
"1:8",17051,"occ",1327,"Neithea striatocostata",3,16842,"Neithea",5,16842,"Maastrichtian",72.1,66,"40;40","1993-01-07 00:00:00","1999-04-08 21:02:41",-2,43,NA
"1:9",17052,"occ",1327,"Agerostrea ungulata",3,16449,"Agerostrea",5,16449,"Maastrichtian",72.1,66,"40;40","1993-01-07 00:00:00","1999-04-08 21:02:41",-2,43,NA
"1:10",17053,"occ",1327,"Ceratostreon pliciferum",3,16544,"Amphidonte (Ceratostreon)",4,163190,"Maastrichtian",72.1,66,"40;40","1993-01-07 00:00:00","1999-04-08 21:02:41",-2,43,NA
"1:11",17054,"occ",1327,"Gryphaeostrea lateralis",3,16693,"Gryphaeostrea",5,16693,"Maastrichtian",72.1,66,"40;40","1993-01-07 00:00:00","1999-04-08 21:02:41",-2,43,NA
"1:12",17055,"occ",1327,"Pycnodonte vesicularis",3,151999,"Pycnodonte vesicularis",3,151999,"Maastrichtian",72.1,66,"40;40","1993-01-07 00:00:00","1999-04-08 21:02:41",-2,43,NA
"1:13",17056,"occ",1327,"Rastellum pectinatum",3,17002,"Rastellum",5,17002,"Maastrichtian",72.1,66,"40;40","1993-01-07 00:00:00","1999-04-08 21:02:41",-2,43,NA
"1:14",17057,"occ",1327,"Agriopleura fumanyae",3,18525,"Agriopleura",5,18525,"Maastrichtian",72.1,66,"40;40","1993-01-07 00:00:00","1999-04-08 21:02:41",-2,43,NA
"1:15",17058,"occ",1327,"Artigesia angulosa",3,18534,"Artigesia",5,18534,"Maastrichtian",72.1,66,"40;40","1993-01-07 00:00:00","1999-04-08 21:02:41",-2,43,NA
"1:16",17059,"occ",1327,"Biradiolites aquitanicus",3,18542,"Biradiolites",5,18542,"Maastrichtian",72.1,66,"40;40","1993-01-07 00:00:00","1999-04-08 21:02:41",-2,43,NA
"1:17",17060,"occ",1327,"Biradiolites baylei",3,18542,"Biradiolites",5,18542,"Maastrichtian",72.1,66,"40;40","1993-01-07 00:00:00","1999-04-08 21:02:41",-2,43,NA
"1:18",17061,"occ",1327,"Biradiolites chaperi",3,18542,"Biradiolites",5,18542,"Maastrichtian",72.1,66,"40;40","1993-01-07 00:00:00","1999-04-08 21:02:41",-2,43,NA
"1:19",17062,"occ",1327,"Biradiolites ingens",3,18542,"Biradiolites",5,18542,"Maastrichtian",72.1,66,"40;40","1993-01-07 00:00:00","1999-04-08 21:02:41",-2,43,NA
"1:20",17063,"occ",1327,"Biradiolites lameracensis",3,309243,"Biradiolites lameracensis",3,309243,"Maastrichtian",72.1,66,"40;40","1993-01-07 00:00:00","1999-04-08 21:02:41",-2,43,NA
"1:21",17064,"occ",1327,"Biradiolites royanus",3,18542,"Biradiolites",5,18542,"Maastrichtian",72.1,66,"40;40","1993-01-07 00:00:00","1999-04-08 21:02:41",-2,43,NA
"1:22",17065,"occ",1327,"Bournonia bournoni",3,309259,"Bournonia bournoni",3,309259,"Maastrichtian",72.1,66,"40;40","1993-01-07 00:00:00","1999-04-08 21:02:41",-2,43,NA
"1:23",17066,"occ",1327,"Hippurites lamarcki",3,18582,"Hippurites",5,18582,"Maastrichtian",72.1,66,"40;40","1993-01-07 00:00:00","1999-04-08 21:02:41",-2,43,NA
"1:24",17067,"occ",1327,"Hippurites radiosus",3,309142,"Hippuritella lapeirousei",3,309139,"Maastrichtian",72.1,66,"40;40","1993-01-07 00:00:00","1999-04-08 21:02:41",-2,43,NA
"1:25",17068,"occ",1327,"Lapeirousia jouanneti",3,18599,"Lapeirousia",5,18599,"Maastrichtian",72.1,66,"40;40","1993-01-07 00:00:00","1999-04-08 21:02:41",-2,43,NA
"1:26",17069,"occ",1327,"Praeradiolites alatus",3,18649,"Praeradiolites",5,18649,"Maastrichtian",72.1,66,"40;40","1993-01-07 00:00:00","1999-04-08 21:02:41",-2,43,NA
"1:27",17070,"occ",1327,"Praeradiolites boucheroni",3,18649,"Praeradiolites",5,18649,"Maastrichtian",72.1,66,"40;40","1993-01-07 00:00:00","1999-04-08 21:02:41",-2,43,NA
"1:28",17071,"occ",1327,"Praeradiolites cylindraceus",3,18649,"Praeradiolites",5,18649,"Maastrichtian",72.1,66,"40;40","1993-01-07 00:00:00","1999-04-08 21:02:41",-2,43,NA
"1:29",17072,"occ",1327,"Praeradiolites hoeninghausi",3,309260,"Praeradiolites hoeninghausi",3,309260,"Maastrichtian",72.1,66,"40;40","1993-01-07 00:00:00","1999-04-08 21:02:41",-2,43,NA
"1:30",17073,"occ",1327,"Radiolitella pulchellus",3,18658,"Radiolitella",5,18658,"Maastrichtian",72.1,66,"40;40","1993-01-07 00:00:00","1999-04-08 21:02:41",-2,43,NA
"1:31",17074,"occ",1327,"Praeradiolites saemanni",3,18649,"Praeradiolites",5,18649,"Maastrichtian",72.1,66,"40;40","1993-01-07 00:00:00","1999-04-08 21:02:41",-2,43,NA
"1:32",17075,"occ",1327,"Praeradiolites riberacensis",3,18649,"Praeradiolites",5,18649,"Maastrichtian",72.1,66,"40;40","1993-01-07 00:00:00","1999-04-08 21:02:41",-2,43,NA
"1:33",17076,"occ",1327,"Endocostea sornayi",3,16628,"Inoceramus (Endocostea)",4,130088,"Maastrichtian",72.1,66,"40;40","1993-01-07 00:00:00","1999-04-08 21:02:41",-2,43,NA
"1:34",17077,"occ",1327,"Plicatula hirsuta",3,16936,"Plicatula",5,16936,"Maastrichtian",72.1,66,"40;40","1993-01-07 00:00:00","1999-04-08 21:02:41",-2,43,NA
"1:35",17078,"occ",1327,"Anomia lamellosa",3,16476,"Anomia",5,16476,"Maastrichtian",72.1,66,"40;40","1993-01-07 00:00:00","1999-04-08 21:02:41",-2,43,NA
"1:36",17079,"occ",1327,"Agerostrea ungulata",3,16449,"Agerostrea",5,16449,"Maastrichtian",72.1,66,"40;40","1993-01-07 00:00:00","1999-04-08 21:02:41",-2,43,NA
"1:37",17080,"occ",1327,"Agerostrea ungulata",3,16449,"Agerostrea",5,16449,"Maastrichtian",72.1,66,"40;40","1993-01-07 00:00:00","1999-04-08 21:02:41",-2,43,NA
"1:38",17081,"occ",1327,"Exogyra texana",3,16655,"Exogyra",5,16655,"Maastrichtian",72.1,66,"40;40","1993-01-07 00:00:00","1999-04-08 21:02:41",-2,43,NA
"1:39",17082,"occ",1327,"Gryphaeostrea canaliculata",3,345033,"Gryphaeostrea canaliculata",3,345033,"Maastrichtian",72.1,66,"40;40","1993-01-07 00:00:00","1999-04-08 21:02:41",-2,43,NA
"1:40",17083,"occ",1327,"Gyrostrea verneuili",3,16697,"Gyrostrea",5,16697,"Maastrichtian",72.1,66,"40;40","1993-01-07 00:00:00","1999-04-08 21:02:41",-2,43,NA
"1:41",17084,"occ",1327,"Apricardia toucasiana",3,18530,"Apricardia",5,18530,"Maastrichtian",72.1,66,"40;40","1993-01-07 00:00:00","1999-04-08 21:02:41",-2,43,NA
"1:42",17085,"occ",1327,"Biradiolites aquitanicus",3,18542,"Biradiolites",5,18542,"Maastrichtian",72.1,66,"40;40","1993-01-07 00:00:00","1999-04-08 21:02:41",-2,43,NA
"1:43",17086,"occ",1327,"Biradiolites mengaudi",3,18542,"Biradiolites",5,18542,"Maastrichtian",72.1,66,"40;40","1993-01-07 00:00:00","1999-04-08 21:02:41",-2,43,NA
"1:44",17087,"occ",1327,"Biradiolites orbignyi",3,18542,"Biradiolites",5,18542,"Maastrichtian",72.1,66,"40;40","1993-01-07 00:00:00","1999-04-08 21:02:41",-2,43,NA
"1:45",17088,"occ",1327,"Hippurites agustinensis",3,18582,"Hippurites",5,18582,"Maastrichtian",72.1,66,"40;40","1993-01-07 00:00:00","1999-04-08 21:02:41",-2,43,NA
"1:46",17089,"occ",1327,"Hippurites lamarcki",3,18582,"Hippurites",5,18582,"Maastrichtian",72.1,66,"40;40","1993-01-07 00:00:00","1999-04-08 21:02:41",-2,43,NA
"1:47",17090,"occ",1327,"Hippuritella lapeirousei",3,309139,"Hippuritella lapeirousei",3,309139,"Maastrichtian",72.1,66,"40;40","1993-01-07 00:00:00","1999-04-08 21:02:41",-2,43,NA
"1:48",17091,"occ",1327,"Radiolites albonensis",3,18659,"Radiolites",5,18659,"Maastrichtian",72.1,66,"40;40","1993-01-07 00:00:00","1999-04-08 21:02:41",-2,43,NA
"1:49",17092,"occ",1327,"Trochoceramus nahorianensis",3,17074,"Trochoceramus",5,17074,"Maastrichtian",72.1,66,"40;40","1993-01-07 00:00:00","1999-04-08 21:02:41",-2,43,NA
"1:50",17093,"occ",1327,"Endocostea borilensis",3,16628,"Inoceramus (Endocostea)",4,130088,"Maastrichtian",72.1,66,"40;40","1993-01-07 00:00:00","1999-04-08 21:02:41",-2,43,NA
