"","totalTime","fittingTime","predictionTime","accuracyTime","testingAUC","cores","GBMemory","trainingExamples","spatialResolution","taxon","cells"
"1",5.54300000000057,0.01299999999992,3.70700000000033,1.80000000000018,0.672435947102196,8,16,100,0.5,"Picea",35000
"2",5.50399999999991,0.0069999999996071,3.66700000000037,1.80799999999999,0.667715201971876,8,16,100,0.5,"Picea",35000
"3",5.54099999999926,0.00700000000051659,3.68499999999949,1.82600000000002,0.68173764573356,8,16,100,0.5,"Picea",35000
"4",5.50399999999991,0.00700000000051659,3.66299999999956,1.8119999999999,0.647135926783963,8,16,100,0.5,"Picea",35000
"5",5.48899999999958,0.0069999999996071,3.6899999999996,1.77000000000044,0.68351707152276,8,16,100,0.5,"Picea",35000
"6",5.55699999999979,0.00700000000051659,3.55799999999999,1.96900000000005,0.667522535560539,8,16,100,0.5,"Picea",35000
"7",5.48299999999927,0.00700000000051659,3.67599999999948,1.77599999999984,0.659754873676022,8,16,100,0.5,"Picea",35000
"8",5.51100000000042,0.00700000000051659,3.65899999999965,1.82300000000032,0.690647924923424,8,16,100,0.5,"Picea",35000
"9",5.52500000000055,0.00700000000051659,3.66699999999946,1.82900000000063,0.644796069545132,8,16,100,0.5,"Picea",35000
"10",5.39599999999973,0.00700000000051659,3.56099999999969,1.80599999999959,0.70016297043363,8,16,100,0.5,"Picea",35000
"11",5.50600000000031,0.00999999999930878,3.65200000000004,1.82000000000062,0.721104055089927,8,16,500,0.5,"Picea",35000
"12",5.50600000000031,0.0100000000002183,3.67799999999988,1.79500000000007,0.728030631344268,8,16,500,0.5,"Picea",35000
"13",5.49099999999999,0.0100000000002183,3.66600000000017,1.79100000000017,0.723768148440537,8,16,500,0.5,"Picea",35000
"14",5.49499999999989,0.0100000000002183,3.65599999999995,1.80500000000029,0.723495425899253,8,16,500,0.5,"Picea",35000
"15",5.48900000000049,0.0100000000002183,3.65999999999985,1.79700000000048,0.741104630100498,8,16,500,0.5,"Picea",35000
"16",5.55100000000039,0.0100000000002183,3.71100000000024,1.80400000000009,0.720190081113453,8,16,500,0.5,"Picea",35000
"17",5.52099999999973,0.0100000000002183,3.67099999999937,1.81700000000001,0.722708521006681,8,16,500,0.5,"Picea",35000
"18",5.56099999999969,0.011000000000422,3.70899999999983,1.81700000000001,0.715029245801228,8,16,500,0.5,"Picea",35000
"19",5.56299999999919,0.0100000000002183,3.70399999999972,1.82499999999982,0.709876877510748,8,16,500,0.5,"Picea",35000
"20",5.53499999999985,0.00999999999930878,3.69400000000041,1.80699999999979,0.695275256063708,8,16,500,0.5,"Picea",35000
"21",5.51800000000003,0.0140000000001237,3.67500000000018,1.80400000000009,0.724133855916773,8,16,1000,0.5,"Picea",35000
"22",5.54700000000048,0.0150000000003274,3.70399999999972,1.80200000000059,0.741486802706846,8,16,1000,0.5,"Picea",35000
"23",5.49499999999989,0.0140000000001237,3.64699999999993,1.80899999999929,0.722783371371053,8,16,1000,0.5,"Picea",35000
"24",5.50399999999991,0.0149999999994179,3.66000000000076,1.80399999999918,0.702534539959052,8,16,1000,0.5,"Picea",35000
"25",5.42700000000059,0.00700000000051659,3.17099999999937,2.0610000000006,0.66542081295387,1,4,100,0.5,"Picea",35000
"26",5.53399999999965,0.0149999999994179,3.68000000000029,1.80999999999949,0.73840747912473,8,16,1000,0.5,"Picea",35000
"27",4.91300000000047,0.00599999999940337,2.94599999999991,1.94100000000071,0.68906158510838,1,4,100,0.5,"Picea",35000
"28",5.52300000000014,0.0150000000003274,3.69499999999971,1.78700000000026,0.71596179170145,8,16,1000,0.5,"Picea",35000
"29",4.89199999999983,0.00700000000051659,2.93299999999999,1.93199999999979,0.718018132851976,1,4,100,0.5,"Picea",35000
"30",5.57699999999932,0.0149999999994179,3.73700000000008,1.79899999999998,0.730790386083322,8,16,1000,0.5,"Picea",35000
"31",4.94200000000001,0.00700000000051659,2.9409999999998,1.97400000000016,0.676731057772645,1,4,100,0.5,"Picea",35000
"32",5.48900000000049,0.0149999999994179,3.67500000000018,1.77400000000034,0.730609225841273,8,16,1000,0.5,"Picea",35000
"33",5.09099999999944,0.00600000000031287,2.92699999999968,2.13199999999961,0.681828424981517,1,4,100,0.5,"Picea",35000
"34",4.88700000000063,0.00600000000031287,2.96900000000005,1.89300000000003,0.715395391961789,1,4,100,0.5,"Picea",35000
"35",5.51100000000042,0.0149999999994179,3.67399999999998,1.79700000000048,0.738204544413695,8,16,1000,0.5,"Picea",35000
"36",5.07200000000012,0.00600000000031287,3.05899999999929,1.98800000000028,0.67807700769845,1,4,100,0.5,"Picea",35000
"37",5.54599999999937,0.0150000000003274,3.69899999999961,1.80599999999959,0.72152390154685,8,16,1000,0.5,"Picea",35000
"38",5.11399999999958,0.00600000000031287,3.05499999999938,2.03300000000036,0.711759213679212,1,4,100,0.5,"Picea",35000
"39",5.55699999999979,0.0239999999994325,3.69200000000001,1.81400000000031,0.725020450195077,8,16,2000,0.5,"Picea",35000
"40",5.20100000000002,0.00600000000031287,2.98199999999997,2.19200000000001,0.699201530803451,1,4,100,0.5,"Picea",35000
"41",5.49600000000009,0.0239999999994325,3.65200000000004,1.79300000000057,0.736383300747922,8,16,2000,0.5,"Picea",35000
"42",4.93399999999929,0.0100000000002183,2.95399999999972,1.94399999999951,0.693992957817529,1,4,100,0.5,"Picea",35000
"43",5.4989999999998,0.024000000000342,3.65200000000004,1.79499999999916,0.737541918450518,8,16,2000,0.5,"Picea",35000
"44",4.96799999999985,0.0100000000002183,2.96699999999964,1.97000000000025,0.736095866553597,1,4,500,0.5,"Picea",35000
"45",5.47500000000036,0.024000000000342,3.63500000000022,1.78999999999996,0.734632038376243,8,16,2000,0.5,"Picea",35000
"46",5.02199999999993,0.0100000000002183,2.98799999999937,2.00400000000081,0.727972374355917,1,4,500,0.5,"Picea",35000
"47",5.45600000000013,0.0250000000005457,3.59199999999964,1.8130000000001,0.728165808103795,8,16,2000,0.5,"Picea",35000
"48",5.07999999999993,0.00999999999930878,3.05600000000049,1.99299999999948,0.721088131202272,1,4,500,0.5,"Picea",35000
"49",5.55199999999968,0.0249999999996362,3.69800000000032,1.80199999999968,0.746587038465993,8,16,2000,0.5,"Picea",35000
"50",4.8760000000002,0.0100000000002183,2.93299999999999,1.91299999999956,0.732125936674212,1,4,500,0.5,"Picea",35000
"51",5.59999999999945,0.0250000000005457,3.71399999999994,1.83299999999963,0.730783783666036,8,16,2000,0.5,"Picea",35000
"52",4.90999999999985,0.0100000000002183,2.90700000000015,1.97199999999975,0.749568803153086,1,4,500,0.5,"Picea",35000
"53",5.52099999999973,0.0249999999996362,3.66799999999967,1.80000000000018,0.724324960169477,8,16,2000,0.5,"Picea",35000
"54",4.8739999999998,0.0100000000002183,2.92799999999988,1.91499999999996,0.71332320689687,1,4,500,0.5,"Picea",35000
"55",4.97900000000027,0.011000000000422,2.92500000000018,2.02099999999973,0.698759487109936,1,4,500,0.5,"Picea",35000
"56",5.60499999999956,0.0249999999996362,3.76199999999972,1.79100000000017,0.723788348533591,8,16,2000,0.5,"Picea",35000
"57",4.89699999999993,0.0100000000002183,2.91299999999956,1.95400000000063,0.709085297312742,1,4,500,0.5,"Picea",35000
"58",5.57799999999952,0.0249999999996362,3.72299999999996,1.80299999999988,0.741636155256055,8,16,2000,0.5,"Picea",35000
"59",4.84699999999975,0.0100000000002183,2.91199999999935,1.90400000000045,0.720764381919747,1,4,500,0.5,"Picea",35000
"60",5.64999999999964,0.0540000000000873,3.74799999999959,1.8130000000001,0.739657206717316,8,16,5000,0.5,"Picea",35000
"61",5.19499999999971,0.0100000000002183,2.90899999999965,2.25500000000011,0.704127082166242,1,4,500,0.5,"Picea",35000
"62",5.72699999999986,0.0599999999994907,3.77300000000014,1.85800000000017,0.738685639221779,8,16,5000,0.5,"Picea",35000
"63",4.89899999999943,0.0150000000003274,2.9350000000004,1.92499999999927,0.738149390525033,1,4,1000,0.5,"Picea",35000
"64",5.67399999999998,0.0590000000001965,3.74200000000019,1.83600000000024,0.740039437332419,8,16,5000,0.5,"Picea",35000
"65",5.23300000000017,0.0140000000001237,3.11400000000049,2.08399999999983,0.729227205110489,1,4,1000,0.5,"Picea",35000
"66",5.69500000000062,0.0590000000001965,3.77400000000034,1.82700000000023,0.718634242308323,8,16,5000,0.5,"Picea",35000
"67",4.88400000000001,0.0150000000003274,2.93499999999949,1.91300000000047,0.74292096466801,1,4,1000,0.5,"Picea",35000
"68",5.69999999999982,0.058999999999287,3.77100000000064,1.83599999999933,0.746108862019305,8,16,5000,0.5,"Picea",35000
"69",4.93700000000081,0.0140000000001237,2.98100000000068,1.92000000000007,0.73012173718703,1,4,1000,0.5,"Picea",35000
