"","totalTime","fittingTime","predictionTime","accuracyTime","testingAUC","cores","GBMemory","trainingExamples","spatialResolution","taxon","numPredictors","cells"
"131",5.32899999999972,0.0489999999999782,3.11400000000049,2.10599999999977,0.71283388754863,1,4,20000,0.5,"Picea",5,35000
"132",5.73899999999958,0.0399999999999636,3.5639999999994,2.07600000000002,0.714495789863262,8,16,20000,0.5,"Picea",5,35000
"133",5.55199999999968,0.0430000000005748,3.11999999999989,2.33399999999983,0.709712753931908,1,4,20000,0.5,"Picea",5,35000
"134",5.79199999999946,0.0400000000008731,3.60699999999997,2.08599999999933,0.708180444701892,8,16,20000,0.5,"Picea",5,35000
"135",5.53499999999985,0.0590000000001965,3.23599999999988,2.18299999999999,0.719438002557489,1,4,20000,0.5,"Picea",5,35000
"136",5.82700000000023,0.056999999999789,3.6239999999998,2.0630000000001,0.718387708281404,8,16,30000,0.5,"Picea",5,35000
"137",5.58999999999924,0.0529999999998836,3.26500000000033,2.21699999999964,0.701050350055465,1,4,20000,0.5,"Picea",5,35000
"138",5.92700000000059,0.0629999999991924,3.67100000000028,2.11400000000049,0.710304758289078,8,16,30000,0.5,"Picea",5,35000
"139",5.68900000000031,0.0450000000000728,3.33299999999963,2.25500000000011,0.718948407985677,1,4,20000,0.5,"Picea",5,35000
"140",6.05500000000029,0.0640000000003056,3.67299999999977,2.23400000000038,0.723920650987355,8,16,30000,0.5,"Picea",5,35000
"141",5.81500000000051,0.0429999999996653,3.40599999999995,2.3100000000004,0.717988770005268,1,4,20000,0.5,"Picea",5,35000
"142",5.97800000000007,0.0590000000001965,3.72499999999945,2.11200000000008,0.712902349438178,8,16,30000,0.5,"Picea",5,35000
"143",5.72299999999996,0.0469999999995707,3.35300000000007,2.26700000000073,0.707068268936382,1,4,20000,0.5,"Picea",5,35000
"144",5.96299999999974,0.0640000000003056,3.71500000000015,2.09999999999945,0.709565217164719,8,16,30000,0.5,"Picea",5,35000
"145",5.48000000000047,0.0450000000000728,3.14499999999953,2.23500000000058,0.718624608773039,1,4,20000,0.5,"Picea",5,35000
"146",5.89199999999983,0.0630000000001019,3.64300000000003,2.10599999999977,0.707776392096457,8,16,30000,0.5,"Picea",5,35000
"147",5.67600000000039,0.0670000000000073,3.34700000000066,2.18599999999969,0.714046813945159,1,4,30000,0.5,"Picea",5,35000
"148",5.97600000000057,0.0659999999998035,3.71399999999994,2.11300000000028,0.717723255634081,8,16,30000,0.5,"Picea",5,35000
"149",6.10899999999947,0.0630000000001019,3.51100000000042,2.46299999999974,0.717611290178125,1,4,30000,0.5,"Picea",5,35000
"150",5.92100000000028,0.0640000000003056,3.66699999999946,2.10800000000017,0.711862237007534,8,16,30000,0.5,"Picea",5,35000
"151",5.85699999999997,0.0600000000004002,3.38400000000001,2.33899999999994,0.711055405973099,1,4,30000,0.5,"Picea",5,35000
"152",6.1269999999995,0.212000000000444,3.71599999999944,2.11700000000019,0.709495325300782,8,16,30000,0.5,"Picea",5,35000
"153",5.86399999999958,0.0730000000003201,3.38900000000012,2.32299999999941,0.712726968108601,1,4,30000,0.5,"Picea",5,35000
"154",5.89300000000003,0.0649999999995998,3.64000000000033,2.10500000000047,0.70559220395166,8,16,30000,0.5,"Picea",5,35000
"155",6.28800000000047,0.0630000000001019,3.37899999999991,2.77000000000044,0.713840705853611,1,4,30000,0.5,"Picea",5,35000
"156",6,0.0799999999999272,3.69599999999991,2.12100000000009,0.715418904743523,8,16,40000,0.5,"Picea",5,35000
"157",5.78899999999976,0.0910000000003492,3.29099999999926,2.28700000000026,0.722588773718868,1,4,30000,0.5,"Picea",5,35000
"158",6.16399999999976,0.228000000000065,3.71100000000024,2.12100000000009,0.705593996861574,8,16,40000,0.5,"Picea",5,35000
"159",5.84799999999996,0.0599999999994907,3.23700000000008,2.47500000000036,0.712094434201292,1,4,30000,0.5,"Picea",5,35000
"160",6.13900000000012,0.235000000000582,3.69799999999941,2.10300000000007,0.713634172117581,8,16,40000,0.5,"Picea",5,35000
"161",6.21399999999994,0.0950000000002547,3.43900000000031,2.5630000000001,0.718347562346624,1,4,30000,0.5,"Picea",5,35000
"162",5.74900000000071,0.0619999999998981,3.23500000000058,2.375,0.707613895932015,1,4,30000,0.5,"Picea",5,35000
"163",6.13799999999992,0.222000000000662,3.71099999999933,2.10500000000047,0.715809328960045,8,16,40000,0.5,"Picea",5,35000
"164",5.5630000000001,0.0630000000001019,3.26500000000033,2.15799999999945,0.715940215312312,1,4,30000,0.5,"Picea",5,35000
"165",6.0019999999995,0.0829999999996289,3.70200000000023,2.11599999999999,0.710638258673186,8,16,40000,0.5,"Picea",5,35000
"166",5.91399999999976,0.0830000000005384,3.41499999999996,2.32399999999961,0.716131085903522,1,4,40000,0.5,"Picea",5,35000
"167",6.13699999999972,0.234000000000378,3.70199999999932,2.10000000000036,0.718672462587567,8,16,40000,0.5,"Picea",5,35000
"168",6.23300000000017,0.271999999999935,3.28300000000036,2.53200000000015,0.715551085234926,1,4,40000,0.5,"Picea",5,35000
"169",6.13600000000042,0.234999999999673,3.66499999999996,2.13500000000022,0.705470819082697,8,16,40000,0.5,"Picea",5,35000
"170",6.0600000000004,0.0839999999998327,3.25900000000001,2.6239999999998,0.71526574907564,1,4,40000,0.5,"Picea",5,35000
"171",6.20400000000063,0.228000000000065,3.75900000000001,2.11500000000069,0.720470779069271,8,16,40000,0.5,"Picea",5,35000
"172",5.66799999999967,0.239000000000487,3.23700000000008,2.09799999999996,0.71402678513461,1,4,40000,0.5,"Picea",5,35000
"173",6.06099999999969,0.229000000000269,3.63499999999931,2.09799999999996,0.71367389230818,8,16,40000,0.5,"Picea",5,35000
"174",5.73900000000049,0.201999999999316,3.31700000000001,2.1260000000002,0.718835009192538,1,4,40000,0.5,"Picea",5,35000
"175",5.88799999999992,0.0749999999998181,3.6230000000005,2.08699999999953,0.710061458097885,8,16,40000,0.5,"Picea",5,35000
"176",5.49200000000019,0.0800000000008367,3.17599999999948,2.14300000000003,0.716843679443594,1,4,40000,0.5,"Picea",5,35000
"177",6.13599999999951,0.227999999999156,3.68000000000029,2.12899999999991,0.714707080432529,8,16,50000,0.5,"Picea",5,35000
"178",6.43599999999969,0.211999999999534,3.18100000000049,2.94899999999961,0.717254061811473,1,4,40000,0.5,"Picea",5,35000
