"","oid","typ","cid","tna","rnk","tid","mna","mra","mid","oei","eag","lag","rid","dcr","dmd","lng","lat","oli"
"1:1",212226,"occ",21337,"Syncerus caffer",3,149719,"Syncerus caffer",3,149719,"Late Pleistocene",0.126,0.0117,"4652;4652","1995-06-21 00:00:00","2002-07-10 22:49:32",35.950001,3.367,NA
"1:2",212321,"occ",21377,"Canis mesomelas",3,232943,"Canis mesomelas",3,232943,"Pliocene",5.333,0.781,"4469;4469","1995-06-22 00:00:00","2004-05-03 09:09:23",36.317001,3.975,"Calabrian"
"1:3",212356,"occ",21399,"Canis mesomelas",3,232943,"Canis mesomelas",3,232943,"Pliocene",5.333,0.781,"4488;4488","1995-06-22 00:00:00","2004-05-03 10:20:38",36.373001,4.067,"Calabrian"
"1:4",212864,"occ",21686,"Sylvilagus floridanus",3,51912,"Sylvilagus floridanus",3,51912,"Holocene",0.0117,0,"4785;4785","1995-10-04 00:00:00","2002-07-10 22:49:32",-67.583298,8.5667,NA
"1:5",212865,"occ",21686,"Heteromys anomalus",3,46952,"Heteromys",5,46952,"Holocene",0.0117,0,"4785;4785","1995-10-04 00:00:00","2002-07-10 22:49:32",-67.583298,8.5667,NA
"1:6",212866,"occ",21686,"Sigmodon alstoni",3,41876,"Sigmodon",5,41876,"Holocene",0.0117,0,"4785;4785","1995-10-04 00:00:00","2002-07-10 22:49:32",-67.583298,8.5667,NA
"1:7",212867,"occ",21686,"Tayassu tajacu",3,52101,"Tayassu tajacu",3,52101,"Holocene",0.0117,0,"4785;4785","1995-10-04 00:00:00","2002-07-10 22:49:32",-67.583298,8.5667,NA
"1:8",212868,"occ",21686,"Felis pardalis",3,46525,"Leopardus pardalis",3,47513,"Holocene",0.0117,0,"4785;4785","1995-10-04 00:00:00","2002-07-10 22:49:32",-67.583298,8.5667,NA
"1:9",212869,"occ",21686,"Felis yagouaroundi",3,46533,"Puma yagouaroundi",3,224063,"Holocene",0.0117,0,"4785;4785","1995-10-04 00:00:00","2002-07-10 22:49:32",-67.583298,8.5667,NA
"1:10",212870,"occ",21686,"Conepatus semistriatus",3,232922,"Conepatus semistriatus",3,232922,"Holocene",0.0117,0,"4785;4785","1995-10-04 00:00:00","2002-07-10 22:49:32",-67.583298,8.5667,NA
"1:11",212871,"occ",21686,"Eira barbara",3,232924,"Eira barbara",3,232924,"Holocene",0.0117,0,"4785;4785","1995-10-04 00:00:00","2002-07-10 22:49:32",-67.583298,8.5667,NA
"1:12",212872,"occ",21686,"Galictis vittata",3,232912,"Galictis vittata",3,232912,"Holocene",0.0117,0,"4785;4785","1995-10-04 00:00:00","2002-07-10 22:49:32",-67.583298,8.5667,NA
"1:13",212873,"occ",21686,"Procyon cancrivorus",3,232926,"Procyon cancrivorus",3,232926,"Holocene",0.0117,0,"4785;4785","1995-10-04 00:00:00","2002-07-10 22:49:32",-67.583298,8.5667,NA
"1:14",212874,"occ",21686,"Saccopteryx bilineata",3,0,NA,NA,NA,"Holocene",0.0117,0,"4785;4785","1995-10-04 00:00:00","2002-07-10 22:49:32",-67.583298,8.5667,NA
"1:15",212875,"occ",21686,"Saccopteryx canescens",3,0,NA,NA,NA,"Holocene",0.0117,0,"4785;4785","1995-10-04 00:00:00","2002-07-10 22:49:32",-67.583298,8.5667,NA
"1:16",212876,"occ",21686,"Saccopteryx leptura",3,0,NA,NA,NA,"Holocene",0.0117,0,"4785;4785","1995-10-04 00:00:00","2002-07-10 22:49:32",-67.583298,8.5667,NA
"1:17",212877,"occ",21686,"Eumops dabbenei",3,40694,"Eumops",5,40694,"Holocene",0.0117,0,"4785;4785","1995-10-04 00:00:00","2002-07-10 22:49:32",-67.583298,8.5667,NA
"1:18",212878,"occ",21686,"Eumops hansae",3,40694,"Eumops",5,40694,"Holocene",0.0117,0,"4785;4785","1995-10-04 00:00:00","2002-07-10 22:49:32",-67.583298,8.5667,NA
"1:19",212879,"occ",21686,"Molossops greenhalli",3,279373,"Molossops",5,279373,"Holocene",0.0117,0,"4785;4785","1995-10-04 00:00:00","2002-07-10 22:49:32",-67.583298,8.5667,NA
"1:20",212880,"occ",21686,"Molossus molossus",3,48788,"Molossus",5,48788,"Holocene",0.0117,0,"4785;4785","1995-10-04 00:00:00","2002-07-10 22:49:32",-67.583298,8.5667,NA
"1:21",212881,"occ",21686,"Ametrida centurio",3,0,NA,NA,NA,"Holocene",0.0117,0,"4785;4785","1995-10-04 00:00:00","2002-07-10 22:49:32",-67.583298,8.5667,NA
"1:22",212882,"occ",21686,"Artibeus jamaicensis",3,160956,"Artibeus jamaicensis",3,160956,"Holocene",0.0117,0,"4785;4785","1995-10-04 00:00:00","2002-07-10 22:49:32",-67.583298,8.5667,NA
"1:23",212883,"occ",21686,"Carollia perspicillata",3,159133,"Carollia",5,159133,"Holocene",0.0117,0,"4785;4785","1995-10-04 00:00:00","2002-07-10 22:49:32",-67.583298,8.5667,NA
"1:24",212884,"occ",21686,"Desmodus rotundus",3,235348,"Desmodus rotundus",3,235348,"Holocene",0.0117,0,"4785;4785","1995-10-04 00:00:00","2002-07-10 22:49:32",-67.583298,8.5667,NA
"1:25",212885,"occ",21686,"Glossophaga longirostris",3,103143,"Glossophaga",5,103143,"Holocene",0.0117,0,"4785;4785","1995-10-04 00:00:00","2002-07-10 22:49:32",-67.583298,8.5667,NA
"1:26",212886,"occ",21686,"Glossophaga soricina",3,103143,"Glossophaga",5,103143,"Holocene",0.0117,0,"4785;4785","1995-10-04 00:00:00","2002-07-10 22:49:32",-67.583298,8.5667,NA
"1:27",212887,"occ",21686,"Micronycteris nicefori",3,117402,"Micronycteris",5,117402,"Holocene",0.0117,0,"4785;4785","1995-10-04 00:00:00","2002-07-10 22:49:32",-67.583298,8.5667,NA
"1:28",212888,"occ",21686,"Mimon crenulatum",3,0,NA,NA,NA,"Holocene",0.0117,0,"4785;4785","1995-10-04 00:00:00","2002-07-10 22:49:32",-67.583298,8.5667,NA
"1:29",212889,"occ",21686,"Phyllostomus discolor",3,103136,"Phyllostomus",5,103136,"Holocene",0.0117,0,"4785;4785","1995-10-04 00:00:00","2002-07-10 22:49:32",-67.583298,8.5667,NA
"1:30",212890,"occ",21686,"Phyllostomus hastatus",3,103136,"Phyllostomus",5,103136,"Holocene",0.0117,0,"4785;4785","1995-10-04 00:00:00","2002-07-10 22:49:32",-67.583298,8.5667,NA
"1:31",212891,"occ",21686,"Sphaeronycteris toxophyllum",3,0,NA,NA,NA,"Holocene",0.0117,0,"4785;4785","1995-10-04 00:00:00","2002-07-10 22:49:32",-67.583298,8.5667,NA
"1:32",212892,"occ",21686,"Sturnira lilium",3,159135,"Sturnira",5,159135,"Holocene",0.0117,0,"4785;4785","1995-10-04 00:00:00","2002-07-10 22:49:32",-67.583298,8.5667,NA
"1:33",212893,"occ",21686,"Sturnira ludovici",3,159135,"Sturnira",5,159135,"Holocene",0.0117,0,"4785;4785","1995-10-04 00:00:00","2002-07-10 22:49:32",-67.583298,8.5667,NA
"1:34",212894,"occ",21686,"Trachops cirrhosus",3,117401,"Trachops cirrhosus",3,117401,"Holocene",0.0117,0,"4785;4785","1995-10-04 00:00:00","2002-07-10 22:49:32",-67.583298,8.5667,NA
"1:35",212895,"occ",21686,"Uroderma magnirostrum",3,0,NA,NA,NA,"Holocene",0.0117,0,"4785;4785","1995-10-04 00:00:00","2002-07-10 22:49:32",-67.583298,8.5667,NA
"1:36",212896,"occ",21686,"Eptesicus furinalis",3,40671,"Eptesicus",5,40671,"Holocene",0.0117,0,"4785;4785","1995-10-04 00:00:00","2002-07-10 22:49:32",-67.583298,8.5667,NA
"1:37",212897,"occ",21686,"Lasiurus ega",3,40675,"Lasiurus",5,40675,"Holocene",0.0117,0,"4785;4785","1995-10-04 00:00:00","2002-07-10 22:49:32",-67.583298,8.5667,NA
"1:38",212898,"occ",21686,"Myotis nigricans",3,40678,"Myotis",5,40678,"Holocene",0.0117,0,"4785;4785","1995-10-04 00:00:00","2002-07-10 22:49:32",-67.583298,8.5667,NA
"1:39",212899,"occ",21686,"Rhogeessa tumida",3,117403,"Rhogeessa",5,117403,"Holocene",0.0117,0,"4785;4785","1995-10-04 00:00:00","2002-07-10 22:49:32",-67.583298,8.5667,NA
"1:40",212900,"occ",21686,"Alouatta seniculus",3,232537,"Alouatta seniculus",3,232537,"Holocene",0.0117,0,"4785;4785","1995-10-04 00:00:00","2002-07-10 22:49:32",-67.583298,8.5667,NA
"1:41",212901,"occ",21686,"Agouti paca",3,233833,"Cuniculus paca",3,233819,"Holocene",0.0117,0,"4785;4785","1995-10-04 00:00:00","2002-07-10 22:49:32",-67.583298,8.5667,NA
"1:42",212914,"occ",21686,"Eumops bonariensis",3,40694,"Eumops",5,40694,"Holocene",0.0117,0,"4785;4785","1995-10-04 00:00:00","2002-07-10 22:49:32",-67.583298,8.5667,NA
"1:43",212928,"occ",21687,"Choloepus didactylus",3,233221,"Choloepus didactylus",3,233221,"Holocene",0.0117,0,"4787;4787","1995-10-04 00:00:00","2002-07-10 22:49:32",-60,-2.5,NA
"1:44",212929,"occ",21687,"Dasyprocta leporina",3,233629,"Dasyprocta leporina",3,233629,"Holocene",0.0117,0,"4787;4787","1995-10-04 00:00:00","2002-07-10 22:49:32",-60,-2.5,NA
"1:45",212930,"occ",21687,"Myoprocta acouchy",3,234760,"Myoprocta acouchy",3,234760,"Holocene",0.0117,0,"4787;4787","1995-10-04 00:00:00","2002-07-10 22:49:32",-60,-2.5,NA
"1:46",212931,"occ",21687,"Tayassu tajacu",3,52101,"Tayassu tajacu",3,52101,"Holocene",0.0117,0,"4787;4787","1995-10-04 00:00:00","2002-07-10 22:49:32",-60,-2.5,NA
"1:47",212932,"occ",21687,"Speothos venaticus",3,232955,"Speothos venaticus",3,232955,"Holocene",0.0117,0,"4787;4787","1995-10-04 00:00:00","2002-07-10 22:49:32",-60,-2.5,NA
"1:48",212933,"occ",21687,"Eira barbara",3,232924,"Eira barbara",3,232924,"Holocene",0.0117,0,"4787;4787","1995-10-04 00:00:00","2002-07-10 22:49:32",-60,-2.5,NA
"1:49",212934,"occ",21687,"Lutra longicaudis",3,137412,"Lontra longicaudis",3,157469,"Holocene",0.0117,0,"4787;4787","1995-10-04 00:00:00","2002-07-10 22:49:32",-60,-2.5,NA
"1:50",212935,"occ",21687,"Nasua nasua",3,231412,"Nasua nasua",3,231412,"Holocene",0.0117,0,"4787;4787","1995-10-04 00:00:00","2002-07-10 22:49:32",-60,-2.5,NA
"1:51",212936,"occ",21687,"Potos flavus",3,232928,"Potos flavus",3,232928,"Holocene",0.0117,0,"4787;4787","1995-10-04 00:00:00","2002-07-10 22:49:32",-60,-2.5,NA
"1:52",212937,"occ",21687,"Caluromys lanatus",3,284727,"Caluromys lanatus",3,284727,"Holocene",0.0117,0,"4787;4787","1995-10-04 00:00:00","2002-07-10 22:49:32",-60,-2.5,NA
"1:53",212938,"occ",21687,"Caluromys philander",3,233578,"Caluromys philander",3,233578,"Holocene",0.0117,0,"4787;4787","1995-10-04 00:00:00","2002-07-10 22:49:32",-60,-2.5,NA
"1:54",212939,"occ",21687,"Didelphis marsupialis",3,45701,"Didelphis marsupialis",3,45701,"Holocene",0.0117,0,"4787;4787","1995-10-04 00:00:00","2002-07-10 22:49:32",-60,-2.5,NA
"1:55",212940,"occ",21687,"Marmosa cinerea",3,39970,"Marmosa",5,39970,"Holocene",0.0117,0,"4787;4787","1995-10-04 00:00:00","2002-07-10 22:49:32",-60,-2.5,NA
"1:56",212941,"occ",21687,"Marmosa murina",3,233580,"Marmosa murina",3,233580,"Holocene",0.0117,0,"4787;4787","1995-10-04 00:00:00","2002-07-10 22:49:32",-60,-2.5,NA
"1:57",212942,"occ",21687,"Monodelphis brevicaudata",3,284763,"Monodelphis brevicaudata",3,284763,"Holocene",0.0117,0,"4787;4787","1995-10-04 00:00:00","2002-07-10 22:49:32",-60,-2.5,NA
"1:58",212943,"occ",21687,"Marmosa parvidens",3,39970,"Marmosa",5,39970,"Holocene",0.0117,0,"4787;4787","1995-10-04 00:00:00","2002-07-10 22:49:32",-60,-2.5,NA
"1:59",212944,"occ",21687,"Metachirus nudicaudatus",3,238612,"Metachirus nudicaudatus",3,238612,"Holocene",0.0117,0,"4787;4787","1995-10-04 00:00:00","2002-07-10 22:49:32",-60,-2.5,NA
"1:60",212945,"occ",21687,"Tapirus terrestris",3,83610,"Tapirus terrestris",3,83610,"Holocene",0.0117,0,"4787;4787","1995-10-04 00:00:00","2002-07-10 22:49:32",-60,-2.5,NA
"1:61",212946,"occ",21687,"Alouatta seniculus",3,232537,"Alouatta seniculus",3,232537,"Holocene",0.0117,0,"4787;4787","1995-10-04 00:00:00","2002-07-10 22:49:32",-60,-2.5,NA
"1:62",212947,"occ",21687,"Ateles paniscus",3,232428,"Ateles paniscus",3,232428,"Holocene",0.0117,0,"4787;4787","1995-10-04 00:00:00","2002-07-10 22:49:32",-60,-2.5,NA
"1:63",212948,"occ",21687,"Cebus apella",3,232441,"Cebus apella",3,232441,"Holocene",0.0117,0,"4787;4787","1995-10-04 00:00:00","2002-07-10 22:49:32",-60,-2.5,NA
"1:64",212949,"occ",21687,"Chiropotes satanas",3,92608,"Chiropotes",5,92608,"Holocene",0.0117,0,"4787;4787","1995-10-04 00:00:00","2002-07-10 22:49:32",-60,-2.5,NA
"1:65",212950,"occ",21687,"Pithecia pithecia",3,92609,"Pithecia",5,92609,"Holocene",0.0117,0,"4787;4787","1995-10-04 00:00:00","2002-07-10 22:49:32",-60,-2.5,NA
"1:66",212951,"occ",21687,"Saguinus midas",3,238652,"Leontopithecus midas",3,232439,"Holocene",0.0117,0,"4787;4787","1995-10-04 00:00:00","2002-07-10 22:49:32",-60,-2.5,NA
"1:67",212952,"occ",21687,"Mesomys hispidus",3,159115,"Mesomys",5,159115,"Holocene",0.0117,0,"4787;4787","1995-10-04 00:00:00","2002-07-10 22:49:32",-60,-2.5,NA
"1:68",212953,"occ",21687,"Isothrix pagurus",3,159116,"Isothrix",5,159116,"Holocene",0.0117,0,"4787;4787","1995-10-04 00:00:00","2002-07-10 22:49:32",-60,-2.5,NA
"1:69",212954,"occ",21687,"Proechimys cuvieri",3,159117,"Proechimys",5,159117,"Holocene",0.0117,0,"4787;4787","1995-10-04 00:00:00","2002-07-10 22:49:32",-60,-2.5,NA
"1:70",212955,"occ",21687,"Agouti paca",3,233833,"Cuniculus paca",3,233819,"Holocene",0.0117,0,"4787;4787","1995-10-04 00:00:00","2002-07-10 22:49:32",-60,-2.5,NA
"1:71",212956,"occ",21687,"Proechimys guyannensis",3,159117,"Proechimys",5,159117,"Holocene",0.0117,0,"4787;4787","1995-10-04 00:00:00","2002-07-10 22:49:32",-60,-2.5,NA
"1:72",212977,"occ",21687,"Panthera onca",3,49735,"Panthera onca",3,49735,"Holocene",0.0117,0,"4787;4787","1995-06-22 00:00:00","2002-07-10 22:49:32",-60,-2.5,NA
"1:73",212979,"occ",21688,"Petauroides volans",3,247841,"Petauroides volans",3,247841,"Holocene",0.0117,0,"4789;4789","1995-10-04 00:00:00","2002-07-10 22:49:32",144.867004,-15.4833,NA
"1:74",212980,"occ",21688,"Melomys cervinipes",3,92492,"Melomys",5,92492,"Holocene",0.0117,0,"4789;4789","1995-10-04 00:00:00","2002-07-10 22:49:32",144.867004,-15.4833,NA
"1:75",212981,"occ",21688,"Zyzomys argurus",3,0,NA,NA,NA,"Holocene",0.0117,0,"4789;4789","1995-10-04 00:00:00","2002-07-10 22:49:32",144.867004,-15.4833,NA
"1:76",212982,"occ",21688,"Antechinus flavipes",3,247139,"Antechinus flavipes",3,247139,"Holocene",0.0117,0,"4789;4789","1995-10-04 00:00:00","2002-07-10 22:49:32",144.867004,-15.4833,NA
"1:77",212983,"occ",21688,"Antechinus stuartii",3,234443,"Antechinus stuartii",3,234443,"Holocene",0.0117,0,"4789;4789","1995-10-04 00:00:00","2002-07-10 22:49:32",144.867004,-15.4833,NA
"1:78",212984,"occ",21688,"Planigale maculata",3,234453,"Planigale maculata",3,234453,"Holocene",0.0117,0,"4789;4789","1995-10-04 00:00:00","2002-07-10 22:49:32",144.867004,-15.4833,NA
"1:79",212985,"occ",21688,"Sminthopsis leucopus",3,40100,"Sminthopsis",5,40100,"Holocene",0.0117,0,"4789;4789","1995-10-04 00:00:00","2002-07-10 22:49:32",144.867004,-15.4833,NA
"1:80",212986,"occ",21688,"Lagorchestes conspicillatus",3,40152,"Lagorchestes",5,40152,"Holocene",0.0117,0,"4789;4789","1995-10-04 00:00:00","2002-07-10 22:49:32",144.867004,-15.4833,NA
"1:81",212987,"occ",21688,"Macropus agilis",3,234858,"Macropus (Notamacropus) agilis",3,162532,"Holocene",0.0117,0,"4789;4789","1995-10-04 00:00:00","2002-07-10 22:49:32",144.867004,-15.4833,NA
"1:82",212988,"occ",21688,"Macropus antilopinus",3,162517,"Macropus (Osphranter) antilopinus",3,162517,"Holocene",0.0117,0,"4789;4789","1995-10-04 00:00:00","2002-07-10 22:49:32",144.867004,-15.4833,NA
"1:83",212989,"occ",21688,"Macropus giganteus",3,162482,"Macropus (Macropus) giganteus",3,162495,"Holocene",0.0117,0,"4789;4789","1995-10-04 00:00:00","2002-07-10 22:49:32",144.867004,-15.4833,NA
"1:84",212990,"occ",21688,"Macropus parryi",3,162540,"Macropus (Notamacropus) parryi",3,162541,"Holocene",0.0117,0,"4789;4789","1995-10-04 00:00:00","2002-07-10 22:49:32",144.867004,-15.4833,NA
"1:85",212991,"occ",21688,"Macropus robustus",3,234411,"Macropus (Osphranter) robustus",3,162522,"Holocene",0.0117,0,"4789;4789","1995-10-04 00:00:00","2002-07-10 22:49:32",144.867004,-15.4833,NA
"1:86",212992,"occ",21688,"Thylogale stigmatica",3,234863,"Thylogale stigmatica",3,234863,"Holocene",0.0117,0,"4789;4789","1995-10-04 00:00:00","2002-07-10 22:49:32",144.867004,-15.4833,NA
"1:87",212993,"occ",21688,"Petaurus norfolcensis",3,234000,"Petaurus norfolcensis",3,234000,"Holocene",0.0117,0,"4789;4789","1995-10-04 00:00:00","2002-07-10 22:49:32",144.867004,-15.4833,NA
"1:88",212994,"occ",21688,"Cercartetus caudatus",3,234544,"Cercartetus caudatus",3,234544,"Holocene",0.0117,0,"4789;4789","1995-10-04 00:00:00","2002-07-10 22:49:32",144.867004,-15.4833,NA
"1:89",212995,"occ",21688,"Dasyurus maculatus",3,234430,"Dasyurus maculatus",3,234430,"Holocene",0.0117,0,"4789;4789","1995-10-04 00:00:00","2002-07-10 22:49:32",144.867004,-15.4833,NA
"1:90",212996,"occ",21688,"Sminthopsis murina",3,40100,"Sminthopsis",5,40100,"Holocene",0.0117,0,"4789;4789","1995-10-04 00:00:00","2002-07-10 22:49:32",144.867004,-15.4833,NA
"1:91",212997,"occ",21688,"Sminthopsis virginiae",3,40100,"Sminthopsis",5,40100,"Holocene",0.0117,0,"4789;4789","1995-10-04 00:00:00","2002-07-10 22:49:32",144.867004,-15.4833,NA
"1:92",212998,"occ",21688,"Aepyprymnus rufescens",3,234876,"Aepyprymnus rufescens",3,234876,"Holocene",0.0117,0,"4789;4789","1995-10-04 00:00:00","2002-07-10 22:49:32",144.867004,-15.4833,NA
"1:93",212999,"occ",21688,"Bettongia penicillata",3,231481,"Bettongia penicillata",3,231481,"Holocene",0.0117,0,"4789;4789","1995-10-04 00:00:00","2002-07-10 22:49:32",144.867004,-15.4833,NA
"1:94",213000,"occ",21688,"Petrogale godmani",3,40158,"Macropus (Petrogale)",4,162520,"Holocene",0.0117,0,"4789;4789","1995-10-04 00:00:00","2002-07-10 22:49:32",144.867004,-15.4833,NA
"1:95",213001,"occ",21688,"Petrogale inornata",3,40158,"Macropus (Petrogale)",4,162520,"Holocene",0.0117,0,"4789;4789","1995-10-04 00:00:00","2002-07-10 22:49:32",144.867004,-15.4833,NA
"1:96",213002,"occ",21688,"Wallabia bicolor",3,234860,"Wallabia bicolor",3,234860,"Holocene",0.0117,0,"4789;4789","1995-10-04 00:00:00","2002-07-10 22:49:32",144.867004,-15.4833,NA
"1:97",213003,"occ",21688,"Isoodon macrourus",3,234410,"Isoodon macrourus",3,234410,"Holocene",0.0117,0,"4789;4789","1995-10-04 00:00:00","2002-07-10 22:49:32",144.867004,-15.4833,NA
"1:98",213004,"occ",21688,"Perameles nasuta",3,234454,"Perameles nasuta",3,234454,"Holocene",0.0117,0,"4789;4789","1995-10-04 00:00:00","2002-07-10 22:49:32",144.867004,-15.4833,NA
"1:99",213005,"occ",21688,"Petaurus australis",3,40123,"Petaurus",5,40123,"Holocene",0.0117,0,"4789;4789","1995-10-04 00:00:00","2002-07-10 22:49:32",144.867004,-15.4833,NA
"1:100",213006,"occ",21688,"Pseudocheirus peregrinus",3,234643,"Pseudocheirus peregrinus",3,234643,"Holocene",0.0117,0,"4789;4789","1995-10-04 00:00:00","2002-07-10 22:49:32",144.867004,-15.4833,NA
"1:101",213007,"occ",21688,"Trichosurus vulpecula",3,231483,"Trichosurus vulpecula",3,231483,"Holocene",0.0117,0,"4789;4789","1995-10-04 00:00:00","2002-07-10 22:49:32",144.867004,-15.4833,NA
"1:102",213008,"occ",21688,"Dasyurus hallucatus",3,234431,"Dasyurus hallucatus",3,234431,"Holocene",0.0117,0,"4789;4789","1995-10-04 00:00:00","2002-07-10 22:49:32",144.867004,-15.4833,NA
"1:103",213009,"occ",21688,"Ornithorhynchus anatinus",3,166835,"Ornithorhynchus anatinus",3,166835,"Holocene",0.0117,0,"4789;4789","1995-10-04 00:00:00","2002-07-10 22:49:32",144.867004,-15.4833,NA
"1:104",213010,"occ",21688,"Petaurus breviceps",3,234627,"Petaurus breviceps",3,234627,"Holocene",0.0117,0,"4789;4789","1995-10-04 00:00:00","2002-07-10 22:49:32",144.867004,-15.4833,NA
"1:105",213011,"occ",21688,"Tachyglossus aculeatus",3,231485,"Tachyglossus aculeatus",3,231485,"Holocene",0.0117,0,"4789;4789","1995-10-04 00:00:00","2002-07-10 22:49:32",144.867004,-15.4833,NA
"1:106",213012,"occ",21688,"Hydromys chrysogaster",3,41904,"Hydromys",5,41904,"Holocene",0.0117,0,"4789;4789","1995-10-04 00:00:00","2002-07-10 22:49:32",144.867004,-15.4833,NA
"1:107",213013,"occ",21688,"Melomys burtoni",3,92492,"Melomys",5,92492,"Holocene",0.0117,0,"4789;4789","1995-10-04 00:00:00","2002-07-10 22:49:32",144.867004,-15.4833,NA
"1:108",213014,"occ",21688,"Mesembriomys gouldii",3,0,NA,NA,NA,"Holocene",0.0117,0,"4789;4789","1995-10-04 00:00:00","2002-07-10 22:49:32",144.867004,-15.4833,NA
"1:109",213015,"occ",21688,"Pseudomys delicatulus",3,339027,"Pseudomys",5,339027,"Holocene",0.0117,0,"4789;4789","1995-10-04 00:00:00","2002-07-10 22:49:32",144.867004,-15.4833,NA
"1:110",213016,"occ",21688,"Pseudomys gracilicaudatus",3,339027,"Pseudomys",5,339027,"Holocene",0.0117,0,"4789;4789","1995-10-04 00:00:00","2002-07-10 22:49:32",144.867004,-15.4833,NA
"1:111",213017,"occ",21688,"Rattus leucopus",3,41923,"Rattus",5,41923,"Holocene",0.0117,0,"4789;4789","1995-10-04 00:00:00","2002-07-10 22:49:32",144.867004,-15.4833,NA
"1:112",213018,"occ",21688,"Rattus lutreolus",3,41923,"Rattus",5,41923,"Holocene",0.0117,0,"4789;4789","1995-10-04 00:00:00","2002-07-10 22:49:32",144.867004,-15.4833,NA
"1:113",213019,"occ",21688,"Rattus sordidus",3,41923,"Rattus",5,41923,"Holocene",0.0117,0,"4789;4789","1995-10-04 00:00:00","2002-07-10 22:49:32",144.867004,-15.4833,NA
"1:114",213020,"occ",21688,"Rattus tunneyi",3,41923,"Rattus",5,41923,"Holocene",0.0117,0,"4789;4789","1995-10-04 00:00:00","2002-07-10 22:49:32",144.867004,-15.4833,NA
"1:115",213021,"occ",21688,"Uromys caudimaculatus",3,92493,"Uromys",5,92493,"Holocene",0.0117,0,"4789;4789","1995-10-04 00:00:00","2002-07-10 22:49:32",144.867004,-15.4833,NA
"1:116",213037,"occ",21689,"Tayassu tajacu",3,52101,"Tayassu tajacu",3,52101,"Holocene",0.0117,0,"4790;4790","1995-10-04 00:00:00","2002-07-10 22:49:32",-71.366699,-11.9,NA
"1:117",213038,"occ",21689,"Felis pardalis",3,46525,"Leopardus pardalis",3,47513,"Holocene",0.0117,0,"4790;4790","1995-10-04 00:00:00","2002-07-10 22:49:32",-71.366699,-11.9,NA
"1:118",213039,"occ",21689,"Felis yagouaroundi",3,46533,"Puma yagouaroundi",3,224063,"Holocene",0.0117,0,"4790;4790","1995-10-04 00:00:00","2002-07-10 22:49:32",-71.366699,-11.9,NA
"1:119",213040,"occ",21689,"Eira barbara",3,232924,"Eira barbara",3,232924,"Holocene",0.0117,0,"4790;4790","1995-10-04 00:00:00","2002-07-10 22:49:32",-71.366699,-11.9,NA
"1:120",213041,"occ",21689,"Galictis vittata",3,232912,"Galictis vittata",3,232912,"Holocene",0.0117,0,"4790;4790","1995-10-04 00:00:00","2002-07-10 22:49:32",-71.366699,-11.9,NA
"1:121",213042,"occ",21689,"Lutra longicaudis",3,137412,"Lontra longicaudis",3,157469,"Holocene",0.0117,0,"4790;4790","1995-10-04 00:00:00","2002-07-10 22:49:32",-71.366699,-11.9,NA
"1:122",213043,"occ",21689,"Pteronura brasiliensis",3,156976,"Pteronura brasiliensis",3,156976,"Holocene",0.0117,0,"4790;4790","1995-10-04 00:00:00","2002-07-10 22:49:32",-71.366699,-11.9,NA
"1:123",213044,"occ",21689,"Bassaricyon gabbii",3,157498,"Bassaricyon gabbii",3,157498,"Holocene",0.0117,0,"4790;4790","1995-10-04 00:00:00","2002-07-10 22:49:32",-71.366699,-11.9,NA
"1:124",213045,"occ",21689,"Nasua nasua",3,231412,"Nasua nasua",3,231412,"Holocene",0.0117,0,"4790;4790","1995-10-04 00:00:00","2002-07-10 22:49:32",-71.366699,-11.9,NA
"1:125",213046,"occ",21689,"Potos flavus",3,232928,"Potos flavus",3,232928,"Holocene",0.0117,0,"4790;4790","1995-10-04 00:00:00","2002-07-10 22:49:32",-71.366699,-11.9,NA
"1:126",213047,"occ",21689,"Sylvilagus brasiliensis",3,233586,"Sylvilagus brasiliensis",3,233586,"Holocene",0.0117,0,"4790;4790","1995-10-04 00:00:00","2002-07-10 22:49:32",-71.366699,-11.9,NA
"1:127",213048,"occ",21689,"Caluromys lanatus",3,284727,"Caluromys lanatus",3,284727,"Holocene",0.0117,0,"4790;4790","1995-10-04 00:00:00","2002-07-10 22:49:32",-71.366699,-11.9,NA
"1:128",213049,"occ",21689,"Didelphis marsupialis",3,45701,"Didelphis marsupialis",3,45701,"Holocene",0.0117,0,"4790;4790","1995-10-04 00:00:00","2002-07-10 22:49:32",-71.366699,-11.9,NA
"1:129",213050,"occ",21689,"Philander opposum",3,284762,"Philander opposum",3,284762,"Holocene",0.0117,0,"4790;4790","1995-10-04 00:00:00","2002-07-10 22:49:32",-71.366699,-11.9,NA
"1:130",213051,"occ",21689,"Metachirus nudicaudatus",3,238612,"Metachirus nudicaudatus",3,238612,"Holocene",0.0117,0,"4790;4790","1995-10-04 00:00:00","2002-07-10 22:49:32",-71.366699,-11.9,NA
"1:131",213052,"occ",21689,"Tapirus terrestris",3,83610,"Tapirus terrestris",3,83610,"Holocene",0.0117,0,"4790;4790","1995-10-04 00:00:00","2002-07-10 22:49:32",-71.366699,-11.9,NA
"1:132",213053,"occ",21689,"Choloepus hoffmanni",3,235353,"Choloepus hoffmanni",3,235353,"Holocene",0.0117,0,"4790;4790","1995-10-04 00:00:00","2002-07-10 22:49:32",-71.366699,-11.9,NA
