siteName,latitude,longitude,age,pollenPercentage,presence,bio2,bio7,bio8,bio15,bio18,bio19
Goff Lake,44.4525,-109.838611,142.0,0.438596491228,0,-48.18166666666667,-25.420000000000002,42.346666666666664,106.1319868442765,10.890000000000001,-3.0466666666666664
Browns Island,38.04217,-121.86795,27.0,0.00701935165057,0,-33.06666666666666,11.729999999999999,15.25,29.37494241966472,13.65,31.52
Browns Island,38.04217,-121.86795,220.0,0.00700509200138,0,-31.463333333333335,12.08,14.856666666666667,29.866127788990802,13.443333333333333,31.416666666666668
Roe Island,38.0723,-122.032935,-25.0,0.013989604325,0,-54.17666666666667,11.640000000000001,15.593333333333334,25.247874033927104,13.799999999999999,27.61333333333333
Roe Island,38.0723,-122.032935,1972.0,0.00703218561032,0,-64.41583333333334,10.16,15.159999999999998,25.051786786659711,13.443333333333333,26.349999999999998
Bluff Lake,41.346515,-122.55987,10996.0,0.337381916329,0,-97.09083333333335,0.34999999999999964,22.559999999999999,53.394945034879839,5.3133333333333335,24.846666666666664
Lilypad Lake,36.98229,-118.99407,4168.0,0.31746031746,0,-60.03416666666667,-9.0799999999999983,22.003333333333334,42.585371524919928,8.1766666666666676,26.053333333333331
Lilypad Lake,36.98229,-118.99407,5115.0,0.4329004329,0,-74.57333333333334,-9.1099999999999994,21.743333333333336,44.343649047837054,8.2133333333333329,26.103333333333335
Lilypad Lake,36.98229,-118.99407,7293.0,0.294985250737,0,-78.11333333333333,-17.629999999999999,31.726666666666663,47.826560551054556,7.293333333333333,26.219999999999999
Lilypad Lake,36.98229,-118.99407,10144.0,0.864553314121,0,-63.826666666666675,-6.5499999999999998,21.066666666666666,48.941758310794661,7.3366666666666669,27.170000000000002
Lilypad Lake,36.98229,-118.99407,11778.0,0.684931506849,0,-78.13,-9.6999999999999993,24.616666666666664,52.281399237754719,6.336666666666666,26.50333333333333
Lilypad Lake,36.98229,-118.99407,14794.0,0.254452926209,0,-105.7375,-4.8399999999999999,11.966666666666669,57.872098050811957,5.4500000000000002,24.196666666666669
Lower Lake,38.590035,-123.30498,-29.0,12.6524390244,1,-75.65166666666666,9.629999999999999,16.546666666666667,24.797723616148186,14.31,28.143333333333334
Lower Lake,38.590035,-123.30498,80.0,13.8282387191,1,-78.12916666666668,7.6799999999999997,17.120000000000001,25.597282679523115,13.646666666666667,26.560000000000002
Lower Lake,38.590035,-123.30498,103.0,7.63260025873,1,-82.15666666666667,8.0400000000000009,17.383333333333336,25.378330237734076,13.476666666666667,26.760000000000002
Lower Lake,38.590035,-123.30498,113.0,18.90625,1,-89.90083333333332,7.5300000000000002,17.896666666666665,25.38961176878643,13.346666666666666,26.580000000000002
Lower Lake,38.590035,-123.30498,127.0,25.5898366606,1,-92.58499999999998,6.9800000000000004,16.666666666666668,24.683007150342366,13.666666666666666,26.603333333333335
Lower Lake,38.590035,-123.30498,138.0,39.8104265403,1,-108.14083333333333,5.25,22.510000000000002,23.647873529811118,14.636666666666665,26.58666666666667
Lower Lake,38.590035,-123.30498,150.0,43.7823834197,1,-91.1225,6.7999999999999998,19.139999999999997,24.709935480782764,14.270000000000001,26.74666666666667
Lower Lake,38.590035,-123.30498,162.0,37.8865979381,1,-97.93416666666667,6.9100000000000001,17.603333333333335,22.820739405629912,14.636666666666665,26.516666666666666
Lower Lake,38.590035,-123.30498,173.0,43.9909297052,1,-91.49416666666666,6.1800000000000006,18.609999999999999,26.687308243334805,13.163333333333334,26.77
Lower Lake,38.590035,-123.30498,185.0,41.9075144509,1,-101.62083333333334,7.629999999999999,15.633333333333335,23.800332893353012,14.396666666666667,26.833333333333332
Lower Lake,38.590035,-123.30498,197.0,36.0730593607,1,-96.94000000000001,3.4000000000000004,20.793333333333333,24.179238588297412,13.916666666666666,26.896666666666665
Lower Lake,38.590035,-123.30498,206.0,37.9746835443,1,-86.88583333333334,8.6500000000000004,17.386666666666667,24.073182756093821,14.963333333333333,27.083333333333332
Lower Lake,38.590035,-123.30498,220.0,35.1706036745,1,-88.17666666666666,7.3999999999999995,16.036666666666665,23.747105033653021,13.969999999999999,26.459999999999997
Lower Lake,38.590035,-123.30498,232.0,42.6605504587,1,-114.98083333333334,4.3700000000000001,20.883333333333333,22.714724254208939,15.043333333333331,27.233333333333334
Lower Lake,38.590035,-123.30498,243.0,37.037037037,1,-99.13083333333333,7.0100000000000007,15.960000000000001,25.733278615932459,13.373333333333333,26.260000000000002
Lower Lake,38.590035,-123.30498,253.0,44.358974359,1,-92.85333333333334,8.75,14.563333333333333,25.823098210376926,13.26,26.419999999999998
Lower Lake,38.590035,-123.30498,262.0,33.488372093,1,-98.73166666666667,7.6000000000000005,17.966666666666665,27.307825768424131,13.06,27.090000000000003
Lower Lake,38.590035,-123.30498,276.0,30.3719008264,1,-85.56,8.2900000000000009,16.010000000000002,24.384618148882112,14.193333333333333,26.833333333333332
Lower Lake,38.590035,-123.30498,299.0,20.5831903945,1,-99.22666666666667,6.6100000000000003,18.113333333333333,23.810537960265286,14.446666666666667,26.846666666666664
Elkhorn Slough,36.82535,-121.76415,-23.0,2.73109243697,1,-32.8375,11.35,13.789999999999999,19.089511438924376,14.49,23.953333333333333
Elkhorn Slough,36.82535,-121.76415,80.0,1.06194690265,1,-26.145,10.630000000000001,12.993333333333334,19.493853366831061,14.116666666666667,22.663333333333338
Elkhorn Slough,36.82535,-121.76415,377.0,0.943396226415,0,-33.0075,10.110000000000001,12.529999999999999,17.727984399716451,14.823333333333332,22.583333333333332
Elkhorn Slough,36.82535,-121.76415,1090.0,3.61990950226,1,-37.86166666666667,9.3800000000000008,12.189999999999998,17.8306772877893,14.193333333333333,22.203333333333333
Elkhorn Slough,36.82535,-121.76415,1744.0,2.5956284153,1,-37.771666666666654,9.620000000000001,12.676666666666668,19.171441870050181,13.700000000000001,22.526666666666667
Elkhorn Slough,36.82535,-121.76415,2046.0,3.29835082459,1,-25.358333333333334,10.950000000000001,13.496666666666664,21.923637035182633,13.513333333333334,22.986666666666665
Elkhorn Slough,36.82535,-121.76415,2400.0,2.13371266003,1,-37.57,9.6500000000000004,12.393333333333336,17.971488980765731,14.086666666666668,22.216666666666669
Elkhorn Slough,36.82535,-121.76415,3054.0,1.88172043011,1,-38.86166666666667,9.3899999999999988,12.933333333333332,21.763845966858128,13.413333333333334,22.75333333333333
Elkhorn Slough,36.82535,-121.76415,3368.0,2.63157894737,1,-40.48916666666667,9.9499999999999993,14.4,21.888224787233462,13.346666666666666,22.806666666666668
Elkhorn Slough,36.82535,-121.76415,3675.0,3.04347826087,1,-37.90333333333334,10.050000000000001,12.243333333333334,17.902503941334615,14.859999999999999,22.849999999999998
Elkhorn Slough,36.82535,-121.76415,4006.0,2.81690140845,1,-37.355833333333344,9.9100000000000001,12.800000000000002,21.146443198628265,13.616666666666667,22.77333333333333
Elkhorn Slough,36.82535,-121.76415,4205.0,3.49040139616,1,-34.284166666666664,10.390000000000001,12.816666666666668,19.021887430913285,14.513333333333334,22.890000000000001
Elkhorn Slough,36.82535,-121.76415,4548.0,6.82926829268,1,-37.373333333333335,10.549999999999999,11.843333333333334,21.013147829710306,13.826666666666666,23.133333333333336
Elkhorn Slough,36.82535,-121.76415,4870.0,2.38429172511,1,-27.250833333333333,10.26,12.583333333333334,21.787036229341304,13.229999999999999,22.523333333333337
Elkhorn Slough,36.82535,-121.76415,5231.0,3.5752979415,1,-35.49333333333334,10.49,12.796666666666667,20.573187215739864,13.936666666666667,23.060000000000002
Elkhorn Slough,36.82535,-121.76415,5577.0,2.74725274725,1,-41.86333333333334,9.7599999999999998,11.823333333333332,20.876609546401088,13.619999999999999,22.693333333333332
Elkhorn Slough,36.82535,-121.76415,5735.0,2.61780104712,1,-38.917500000000004,10.219999999999999,12.506666666666666,20.874233712899748,13.32,22.656666666666666
Elkhorn Slough,36.82535,-121.76415,5911.0,2.52479711452,1,-38.26250000000001,10.289999999999999,11.893333333333333,21.197248840820755,13.743333333333334,23.083333333333332
Elkhorn Slough,36.82535,-121.76415,6252.0,2.04978038067,1,-40.990833333333335,10.02,12.826666666666668,21.280318646306558,13.486666666666666,22.91333333333333
Elkhorn Slough,36.82535,-121.76415,6474.0,2.75423728814,1,-38.237500000000004,10.200000000000001,12.569999999999999,23.281942911349848,12.69,23.206666666666663
CA-HUM-558 (Pilot Ridge),40.6617,-123.6691,174.0,0.373134328358,0,-114.9775,2.1799999999999997,24.286666666666665,29.124247908543833,9.4633333333333329,20.783333333333335
CA-HUM-558 (Pilot Ridge),40.6617,-123.6691,1402.0,0.171526586621,0,-110.01249999999999,1.1500000000000004,23.673333333333336,24.337608778528537,11.223333333333334,21.370000000000001
CA-HUM-558 (Pilot Ridge),40.6617,-123.6691,1546.0,0.20964360587,0,-113.70583333333332,0.83000000000000007,23.580000000000002,27.998496804867628,10.079999999999998,21.150000000000002
CA-HUM-558 (Pilot Ridge),40.6617,-123.6691,1803.0,0.649350649351,0,-128.56583333333333,-2.2899999999999991,31.189999999999998,25.808856046603989,10.613333333333333,20.233333333333334
CA-HUM-558 (Pilot Ridge),40.6617,-123.6691,1877.0,0.214592274678,0,-125.44916666666666,3.1499999999999995,23.549999999999997,28.144359270571535,10.200000000000001,20.846666666666668
CA-HUM-558 (Pilot Ridge),40.6617,-123.6691,2015.0,0.243309002433,0,-114.9425,-0.080000000000000071,24.290000000000003,29.76531654706649,9.1266666666666669,20.16
CA-HUM-558 (Pilot Ridge),40.6617,-123.6691,4064.0,0.19120458891,0,-112.6125,3.2000000000000002,21.16,29.292433715821193,9.4766666666666666,21.129999999999999
CA-HUM-558 (Pilot Ridge),40.6617,-123.6691,4657.0,0.412371134021,0,-114.28583333333334,2.1099999999999994,23.763333333333335,28.048730728128973,10.223333333333333,21.143333333333334
Benicia State Park,38.0734722222,-122.193055556,-38.0,1.43426751958,1,-46.24333333333333,12.110000000000001,15.026666666666666,24.940531732817313,13.853333333333333,28.176666666666666
Benicia State Park,38.0734722222,-122.193055556,-1.0,0.158828481123,0,-45.29583333333334,11.710000000000001,14.723333333333334,26.166397812261195,13.086666666666666,27.203333333333333
Benicia State Park,38.0734722222,-122.193055556,52.0,2.86033008209,1,-61.80416666666665,10.58,14.096666666666669,25.873907533173501,12.896666666666667,26.936666666666667
Benicia State Park,38.0734722222,-122.193055556,97.0,2.83624723972,1,-50.9775,11.120000000000001,14.420000000000002,25.518329934174222,12.973333333333334,26.5
Benicia State Park,38.0734722222,-122.193055556,150.0,2.10076677987,1,-57.81166666666667,10.299999999999999,15.25,24.753020046628436,13.369999999999999,26.5
Benicia State Park,38.0734722222,-122.193055556,240.0,1.77651447859,1,-63.032500000000006,10.1,13.553333333333335,25.876602835298762,12.886666666666665,26.73
Benicia State Park,38.0734722222,-122.193055556,301.0,2.47954376395,1,-61.686666666666675,10.33,15.17,24.016777043129796,13.890000000000001,27.016666666666666
Benicia State Park,38.0734722222,-122.193055556,355.0,1.25363030442,1,-65.69249999999998,10.450000000000001,14.030000000000001,24.007735970882919,13.85,26.523333333333337
Benicia State Park,38.0734722222,-122.193055556,462.0,0.572704885173,0,-54.09166666666667,10.890000000000001,14.549999999999999,25.596089214216867,13.306666666666667,26.560000000000002
Benicia State Park,38.0734722222,-122.193055556,1039.0,2.91482870523,1,-62.70083333333333,9.6400000000000006,15.813333333333333,25.08901456152708,12.996666666666668,26.079999999999998
Benicia State Park,38.0734722222,-122.193055556,1591.0,0.0763166530569,0,-57.35583333333333,9.5999999999999996,14.053333333333333,25.92587024948207,12.809999999999997,26.420000000000002
Benicia State Park,38.0734722222,-122.193055556,1734.0,0.0691723186215,0,-65.73750000000001,10.489999999999998,13.673333333333332,24.631354499741605,13.636666666666665,27.023333333333337
China Camp,38.0075,-122.493333333,89.0,2.20588235294,1,-57.25749999999999,10.43,14.486666666666666,25.842930286345585,12.700000000000001,26.099999999999998
China Camp,38.0075,-122.493333333,135.0,0.706713780919,0,-68.18583333333332,10.0,16.313333333333336,23.841351742207948,14.42,26.25
China Camp,38.0075,-122.493333333,434.0,0.980392156863,0,-59.770833333333336,10.949999999999999,15.07,26.175794619928961,13.283333333333333,27.669999999999998
China Camp,38.0075,-122.493333333,693.0,1.43442622951,1,-60.88583333333333,9.8800000000000008,15.996666666666668,27.398651496074848,12.303333333333333,26.266666666666666
China Camp,38.0075,-122.493333333,859.0,4.42857142857,1,-57.192499999999995,9.6300000000000008,14.693333333333333,25.013656766677855,13.106666666666667,25.640000000000001
China Camp,38.0075,-122.493333333,955.0,0.61099796334,0,-68.08583333333334,10.75,14.873333333333335,25.929362200596511,13.306666666666667,26.75
China Camp,38.0075,-122.493333333,1172.0,1.59680638723,1,-55.823333333333345,11.260000000000002,14.5,27.460990239678111,12.609999999999999,27.236666666666668
China Camp,38.0075,-122.493333333,1491.0,1.62790697674,1,-49.82416666666666,10.06,14.683333333333332,23.771411674705831,14.65,26.77
China Camp,38.0075,-122.493333333,2426.0,0.840336134454,0,-59.152499999999996,9.8600000000000012,13.130000000000001,26.835176000238388,12.273333333333333,26.129999999999999
China Camp,38.0075,-122.493333333,2687.0,0.247524752475,0,-72.21166666666667,10.139999999999999,15.07,23.944208508660381,13.589999999999998,26.066666666666666
China Camp,38.0075,-122.493333333,3718.0,2.85714285714,1,-69.67916666666667,9.6600000000000001,14.723333333333334,27.312109486081145,12.253333333333332,26.733333333333334
China Camp,38.0075,-122.493333333,3886.0,5.3738317757,1,-62.8725,10.459999999999999,14.979999999999999,25.15018102588003,13.736666666666665,26.626666666666665
China Camp,38.0075,-122.493333333,4309.0,0.845070422535,0,-64.33416666666666,9.7600000000000016,15.589999999999998,27.179867733389951,12.459999999999999,26.416666666666668
