"","oid","typ","cid","tna","rnk","tid","mna","mra","mid","oei","eag","lag","rid","dcr","dmd","lng","lat","oli"
"1:1",15021,"occ",1296,"Nuculana whitfieldi",3,16083,"Nuculana",5,16083,"Maastrichtian",72.1,66,"40;40","1994-02-17 00:00:00","1999-04-08 21:02:41",-95.98333,33.099998,NA
"1:2",15022,"occ",1296,"Cucullaea capax",3,59942,"Idonearca capax",3,60698,"Maastrichtian",72.1,66,"40;40","1994-02-17 00:00:00","1999-04-08 21:02:41",-95.98333,33.099998,NA
"1:3",15023,"occ",1296,"Crenella serica",3,16350,"Crenella",5,16350,"Maastrichtian",72.1,66,"40;40","1994-02-17 00:00:00","1999-04-08 21:02:41",-95.98333,33.099998,NA
"1:4",15024,"occ",1296,"Pteria sp.",5,16981,"Pteria",5,16981,"Maastrichtian",72.1,66,"40;40","1994-02-17 00:00:00","1999-04-08 21:02:41",-95.98333,33.099998,NA
"1:5",15025,"occ",1296,"Syncyclonema simplicius",3,17060,"Syncyclonema",5,17060,"Maastrichtian",72.1,66,"40;40","1994-02-17 00:00:00","1999-04-08 21:02:41",-95.98333,33.099998,NA
"1:6",15026,"occ",1296,"Anomia argentaria",3,59130,"Anomia argentaria",3,59130,"Maastrichtian",72.1,66,"40;40","1994-02-17 00:00:00","1999-04-08 21:02:41",-95.98333,33.099998,NA
"1:7",15027,"occ",1296,"Pycnodonte vesicularis",3,151999,"Pycnodonte vesicularis",3,151999,"Maastrichtian",72.1,66,"40;40","1994-02-17 00:00:00","1999-04-08 21:02:41",-95.98333,33.099998,NA
"1:8",15028,"occ",1296,"Exogyra costata",3,16655,"Exogyra",5,16655,"Maastrichtian",72.1,66,"40;40","1994-02-17 00:00:00","1999-04-08 21:02:41",-95.98333,33.099998,NA
"1:9",15029,"occ",1296,"Gryphaeostrea vomer",3,60544,"Gryphaeostrea vomer",3,60544,"Maastrichtian",72.1,66,"40;40","1994-02-17 00:00:00","1999-04-08 21:02:41",-95.98333,33.099998,NA
"1:10",15030,"occ",1296,"Agerostrea falcata",3,59006,"Agerostrea falcata",3,59006,"Maastrichtian",72.1,66,"40;40","1994-02-17 00:00:00","1999-04-08 21:02:41",-95.98333,33.099998,NA
"1:11",15031,"occ",1296,"Ambigostrea tecticosta",3,16457,"Ambigostrea",5,16457,"Maastrichtian",72.1,66,"40;40","1994-02-17 00:00:00","1999-04-08 21:02:41",-95.98333,33.099998,NA
