"","oid","typ","cid","tna","rnk","tid","mna","mra","mid","oei","eag","lag","rid","dcr","dmd","lng","lat","oli"
"1:1",1,"occ",1,"Australosutura llanoensis",3,21084,"Australosutura",5,21084,"Ivorian",353.8,345.3,"1;1","1998-11-20 07:59:51","1998-11-20 09:59:51",-98.099998,31,NA
"1:2",2,"occ",1,"Carbonocoryphe planucauda",3,21109,"Carbonocoryphe",5,21109,"Ivorian",353.8,345.3,"1;1","1998-11-20 07:59:51","1998-11-20 09:59:51",-98.099998,31,NA
"1:3",3,"occ",1,"Thigriffides roundyi",3,21387,"Thigriffides",5,21387,"Ivorian",353.8,345.3,"1;1","1998-11-20 07:59:51","1998-11-20 09:59:51",-98.099998,31,NA
"1:4",5,"occ",3,"Pudoproetus chappelensis",3,21343,"Pudoproetus",5,21343,"Ivorian",353.8,345.3,"1;1","1998-11-20 07:59:51","1998-11-20 09:59:51",-98.099998,31,NA
"1:5",7,"occ",4,"Pudoproetus chappelensis",3,21343,"Pudoproetus",5,21343,"Kinderhookian",358.9,342.8,"1;1","1998-11-20 07:59:51","1998-11-20 09:59:51",-98.099998,31,"Osagean"
"1:6",8,"occ",4,"Thigriffides roundyi",3,21387,"Thigriffides",5,21387,"Kinderhookian",358.9,342.8,"1;1","1998-11-20 07:59:51","1998-11-20 09:59:51",-98.099998,31,"Osagean"
"1:7",9,"occ",1,"Pudoproetus chappelensis",3,21343,"Pudoproetus",5,21343,"Ivorian",353.8,345.3,"1;1","1998-11-20 07:59:51","1998-11-20 09:59:51",-98.099998,31,NA
"1:8",10,"occ",5,"Pudoproetus chappelensis",3,21343,"Pudoproetus",5,21343,"Kinderhookian",358.9,342.8,"1;1","1998-11-20 07:59:51","1998-11-20 09:59:51",-98.099998,31,"Osagean"
"1:9",11,"occ",5,"Griffithidella alternata",3,21191,"Griffithidella",5,21191,"Kinderhookian",358.9,342.8,"1;1","1998-11-20 07:59:51","1998-11-20 09:59:51",-98.099998,31,"Osagean"
"1:10",12,"occ",5,"Griffithidella depressa",3,21191,"Griffithidella",5,21191,"Kinderhookian",358.9,342.8,"1;1","1998-11-20 07:59:51","1998-11-20 09:59:51",-98.099998,31,"Osagean"
"1:11",13,"occ",5,"Carbonocoryphe planucauda",3,21109,"Carbonocoryphe",5,21109,"Kinderhookian",358.9,342.8,"1;1","1998-11-20 07:59:51","1998-11-20 09:59:51",-98.099998,31,"Osagean"
"1:12",14,"occ",6,"Griffithidella doris",3,21191,"Griffithidella",5,21191,"Kinderhookian",358.9,342.8,"1;1","1998-11-20 07:59:51","1998-11-20 09:59:51",-98.099998,31,"Osagean"
"1:13",15,"occ",7,"Thigriffides roundyi",3,21387,"Thigriffides",5,21387,"Kinderhookian",358.9,342.8,"1;1","1998-11-20 07:59:51","1998-11-20 09:59:51",-98.099998,31,"Osagean"
"1:14",16,"occ",8,"Pudoproetus chappelensis",3,21343,"Pudoproetus",5,21343,"Kinderhookian",358.9,342.8,"1;1","1998-11-20 07:59:51","1998-11-20 09:59:51",-96.678055,34.774445,"Osagean"
"1:15",17,"occ",8,"Griffithidella doris",3,21191,"Griffithidella",5,21191,"Kinderhookian",358.9,342.8,"1;1","1998-11-20 07:59:51","1998-11-20 09:59:51",-96.678055,34.774445,"Osagean"
"1:16",18,"occ",8,"Griffithidella alternata",3,21191,"Griffithidella",5,21191,"Kinderhookian",358.9,342.8,"1;1","1998-11-20 07:59:51","1998-11-20 09:59:51",-96.678055,34.774445,"Osagean"
"1:17",19,"occ",8,"Carbonocoryphe planucauda",3,21109,"Carbonocoryphe",5,21109,"Kinderhookian",358.9,342.8,"1;1","1998-11-20 07:59:51","1998-11-20 09:59:51",-96.678055,34.774445,"Osagean"
