,absentName,variable,value
1,numPredictors,timing.reduction,-0.000259468
2,cores,timing.reduction,-0.055530359
3,GBMemory,timing.reduction,-0.006544839
4,trainingExamples,timing.reduction,-0.38362304
5,cells,timing.reduction,0.000117036
6,numPredictors,acc.reduction,-0.343886167
7,cores,acc.reduction,-0.000921694
8,GBMemory,acc.reduction,-0.000203771
9,trainingExamples,acc.reduction,-0.457224937
10,cells,acc.reduction,-3.26E-05
