,,,,,"SR1, NO: 50","SR:1, NO: 500","SR1, NO:1000","SR1, NO:10000","SR1, NO: 30000","SR0.5, NO: 50","SR:0.5, NO: 500","SR0.5, NO:1000","SR0.5, NO:10000","SR0.5, NO: 30000","SR0.25, NO: 50","SR:0.25, NO: 500","SR0.25, NO:1000","SR0.25, NO:10000","SR0.25, NO: 30000","SR0.1, NO: 50","SR:0.1, NO: 500","SR0.1, NO:1000","SR0.1, NO:10000","SR0.1, NO: 30000",,,,,,
Computer Type,vCPU,Memory (GiB),Linux/UNIX Usage,CPH,tpr1,tpr2,tpr3,tpr4,tpr5,tpr6,tpr7,tpr8,tpr9,tpr10,tpr11,tpr12,tpr13,tpr14,tpr15,tpr16,tpr17,tpr18,tpr19,tpr20,HoursPerReplicate,CostPerReplicate,numTaxa,Reps,TotalHoursPerConfig,TotalCostPerConfig
t2.small,1,2,$0.026 per Hour,$0.026,7.733888889,30.1485,80.04046512,2355.911579,0,7.61,32.71,81.37,2133.23,0,9.252894737,38.42170732,83.5896875,2057.618095,0,27.8865,73.36,141.0164516,2261.861,0,2.617156591,0.068046071,4,10,104.6862636,2.721842855
t2.medium,2,4,$0.052 per Hour,$0.052,7.733888889,30.1485,80.04046512,2355.911579,0,7.61,32.71,81.37,2133.23,0,9.252894737,38.42170732,83.5896875,2057.618095,0,27.8865,73.36,141.0164516,2261.861,0,2.617156591,0.136092143,4,10,104.6862636,5.443685709
t2.large,2,8,$0.104 per Hour,$0.104,7.733888889,30.1485,80.04046512,2355.911579,0,7.61,32.71,81.37,2133.23,0,9.252894737,38.42170732,83.5896875,2057.618095,0,27.8865,73.36,141.0164516,2261.861,0,2.617156591,0.272184285,4,10,104.6862636,10.88737142
m4.large,2,8,$0.12 per Hour,$0.12 ,7.733888889,30.1485,80.04046512,2355.911579,0,7.61,32.71,81.37,2133.23,0,9.252894737,38.42170732,83.5896875,2057.618095,0,27.8865,73.36,141.0164516,2261.861,0,2.617156591,0.314058791,4,10,104.6862636,12.56235164
m4.xlarge,4,16,$0.239 per Hour,$0.239,7.733888889,30.1485,80.04046512,2355.911579,0,7.61,32.71,81.37,2133.23,0,9.252894737,38.42170732,83.5896875,2057.618095,0,27.8865,73.36,141.0164516,2261.861,0,2.617156591,0.625500425,4,10,104.6862636,25.02001701
m4.2xlarge,8,32,$0.479 per Hour,$0.479,7.733888889,30.1485,80.04046512,2355.911579,0,7.61,32.71,81.37,2133.23,0,9.252894737,38.42170732,83.5896875,2057.618095,0,27.8865,73.36,141.0164516,2261.861,0,2.617156591,1.253618007,4,10,104.6862636,50.14472029
m4.4xlarge,16,64,$0.958 per Hour,$0.958,7.733888889,30.1485,80.04046512,2355.911579,0,7.61,32.71,81.37,2133.23,0,9.252894737,38.42170732,83.5896875,2057.618095,0,27.8865,73.36,141.0164516,2261.861,0,2.617156591,2.507236014,4,10,104.6862636,100.2894406
m4.10xlarge,40,160,$2.394 per Hour,$2.394,7.733888889,30.1485,80.04046512,2355.911579,0,7.61,32.71,81.37,2133.23,0,9.252894737,38.42170732,83.5896875,2057.618095,0,27.8865,73.36,141.0164516,2261.861,0,2.617156591,6.265472879,4,10,104.6862636,250.6189152
m3.medium,1,3.75,$0.067 per Hour,$0.067,7.733888889,30.1485,80.04046512,2355.911579,0,7.61,32.71,81.37,2133.23,0,9.252894737,38.42170732,83.5896875,2057.618095,0,27.8865,73.36,141.0164516,2261.861,0,2.617156591,0.175349492,4,10,104.6862636,7.013979664
m3.large,2,7.5,$0.133 per Hour,$0.133,7.733888889,30.1485,80.04046512,2355.911579,0,7.61,32.71,81.37,2133.23,0,9.252894737,38.42170732,83.5896875,2057.618095,0,27.8865,73.36,141.0164516,2261.861,0,2.617156591,0.348081827,4,10,104.6862636,13.92327306
m3.xlarge,4,15,$0.266 per Hour,$0.266,7.733888889,30.1485,80.04046512,2355.911579,0,7.61,32.71,81.37,2133.23,0,9.252894737,38.42170732,83.5896875,2057.618095,0,27.8865,73.36,141.0164516,2261.861,0,2.617156591,0.696163653,4,10,104.6862636,27.84654613
m3.2xlarge,8,30,$0.532 per Hour,$0.532,7.733888889,30.1485,80.04046512,2355.911579,0,7.61,32.71,81.37,2133.23,0,9.252894737,38.42170732,83.5896875,2057.618095,0,27.8865,73.36,141.0164516,2261.861,0,2.617156591,1.392327306,4,10,104.6862636,55.69309226
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3140.587909,3179.740572
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.012466667,
