SpatialResolution,NO50,NO500,NO1000,NO10000, /n
SR1,7.73,30.15,80.04,2355.91, /n
SR0.5,7.61,32.71,81.37,2133.23, /n
SR0.25,9.25,38.42,83.59,2057.62, /n
SR0.1,27.89,73.36,141.02,2261.86, /n
