siteName,siteLatitude,siteLongitude,siteAltitude,siteID,depth,thickness,age,ageOld,ageYoung,chronologyType,chronologyID,taxonPercent,taxonSum,pollenSum,countedInLevel,totalInLevel,datasetID,datasetType,collectionUnitType,collectionUnitHandle,collectionUnitID
Lake Allie,44.8036,-94.55789999999999,328.0,29,1.0,,-12.0,,,Radiocarbon years BP,21,16.831683168316832,68.0,404.0,34,38,29,pollen,Core,ALLIE,29
Lake Allie,44.8036,-94.55789999999999,328.0,29,10.0,,18.0,,,Radiocarbon years BP,21,13.975903614457833,58.0,415.0,35,38,29,pollen,Core,ALLIE,29
Lake Allie,44.8036,-94.55789999999999,328.0,29,20.0,,51.0,,,Radiocarbon years BP,21,14.432989690721648,56.0,388.0,33,36,29,pollen,Core,ALLIE,29
Lake Allie,44.8036,-94.55789999999999,328.0,29,30.0,,84.0,,,Radiocarbon years BP,21,13.563829787234042,51.0,376.0,30,35,29,pollen,Core,ALLIE,29
Lake Allie,44.8036,-94.55789999999999,328.0,29,40.0,,116.0,,,Radiocarbon years BP,21,17.261904761904763,58.0,336.0,33,38,29,pollen,Core,ALLIE,29
Lake Allie,44.8036,-94.55789999999999,328.0,29,50.0,,149.0,,,Radiocarbon years BP,21,24.316939890710383,89.0,366.0,35,38,29,pollen,Core,ALLIE,29
Lake Allie,44.8036,-94.55789999999999,328.0,29,60.0,,182.0,,,Radiocarbon years BP,21,20.670391061452513,74.0,358.0,30,33,29,pollen,Core,ALLIE,29
Lake Allie,44.8036,-94.55789999999999,328.0,29,70.0,,215.0,,,Radiocarbon years BP,21,13.88888888888889,45.0,324.0,31,34,29,pollen,Core,ALLIE,29
Lake Allie,44.8036,-94.55789999999999,328.0,29,80.0,,248.0,,,Radiocarbon years BP,21,18.04733727810651,61.0,338.0,28,32,29,pollen,Core,ALLIE,29
Lake Allie,44.8036,-94.55789999999999,328.0,29,90.0,,281.0,,,Radiocarbon years BP,21,21.114369501466275,72.0,341.0,27,32,29,pollen,Core,ALLIE,29
Lake Allie,44.8036,-94.55789999999999,328.0,29,100.0,,314.0,,,Radiocarbon years BP,21,17.857142857142858,60.0,336.0,28,33,29,pollen,Core,ALLIE,29
Lake Allie,44.8036,-94.55789999999999,328.0,29,110.0,,346.0,,,Radiocarbon years BP,21,19.402985074626866,65.0,335.0,25,28,29,pollen,Core,ALLIE,29
Lake Allie,44.8036,-94.55789999999999,328.0,29,120.0,,379.0,,,Radiocarbon years BP,21,18.766756032171582,70.0,373.0,30,34,29,pollen,Core,ALLIE,29
Lake Allie,44.8036,-94.55789999999999,328.0,29,130.0,,412.0,,,Radiocarbon years BP,21,24.840764331210192,78.0,314.0,29,34,29,pollen,Core
