"","absentName","mse.acc","mse.timing","r2","r2.acc","acc.reduction","timing.reduction","acc.r2.reduction","r2.reduction"
"1","numPredictors",0.001031266582145,0.0643372083165518,0.960672089754629,0.665287177807954,0.000811381460498178,0.0641218214251744,-0.263188378566113,0.0307358417813358
"2","cores",0.00021832021587543,0.0656128242581718,0.959953047173456,0.928972403514115,-1.5649057713954e-06,0.0653974373667945,0.000496847140048273,0.030016799200163
"3","GBMemory",0.000220342481846269,0.143955783164137,0.912791787338309,0.928592222004419,4.573601994435e-07,0.143740396272759,0.000116665630351953,-0.0171444606349839
"4","trainingExamples",0.00102048138866371,0.697342876556932,0.580912604976303,0.664861483704203,0.000800596267016884,0.697127489665555,-0.263614072669863,-0.349023642996991
"5","cells",0.000215386891377384,0.144666390436727,0.911863690426377,0.929936247973293,-4.49823026944104e-06,0.14445100354535,0.00146069159922635,-0.0180725575469159
